,SP500_CAPE_A,SP500_CAPE_B,FTSE100_CAPE_A,FTSE100_CAPE_B,DAX_CAPE_A,DAX_CAPE_B,CAC40_CAPE_A,CAC40_CAPE_B,NIKKEI225_CAPE_A,NIKKEI225_CAPE_B,SHANGHAI_CAPE_A,SHANGHAI_CAPE_B,HANGSENG_CAPE_A,HANGSENG_CAPE_B,KOSPI_CAPE_A,KOSPI_CAPE_B,NIFTY50_CAPE_A,NIFTY50_CAPE_B,TSX_CAPE_A,TSX_CAPE_B,ASX200_CAPE_A,ASX200_CAPE_B,BOVESPA_CAPE_A,BOVESPA_CAPE_B,EUROSTOXX50_CAPE_A,EUROSTOXX50_CAPE_B,IBEX35_CAPE_A,IBEX35_CAPE_B,SMI_CAPE_A,SMI_CAPE_B,STI_CAPE_A,STI_CAPE_B,TWSE_CAPE_A,TWSE_CAPE_B,JSE_CAPE_A,JSE_CAPE_B,AEX_CAPE_A,AEX_CAPE_B,IPC_CAPE_A,IPC_CAPE_B,JKSE_CAPE_A,JKSE_CAPE_B,TA125_CAPE_A,TA125_CAPE_B,KLCI_CAPE_A,KLCI_CAPE_B
2021-10,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,MR,RW,RW
2021-11,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,MR,RW,RW
2021-12,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,MR,RW,RW
2022-01,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,RW,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,MR,RW,RW
2022-02,RW,RW,MR,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,MR,RW,EXP,EXP,RW,RW,EXP,EXP,RW,RW,EXP,EXP,EXP,RW,EXP,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,MR,MR,MR,RW
2022-03,MR,MR,MR,MR,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,MR,EXP,MR,MR,EXP,EXP,MR,MR,EXP,EXP,RW,MR,EXP,EXP,EXP,MR,EXP,EXP,MR,MR,RW,EXP,EXP,EXP,EXP,EXP,MR,MR,RW,EXP,MR,MR,MR,MR
2022-04,MR,MR,MR,MR,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,MR,EXP,MR,MR,EXP,EXP,MR,MR,EXP,EXP,RW,MR,EXP,EXP,EXP,MR,EXP,EXP,MR,MR,RW,EXP,EXP,EXP,EXP,EXP,MR,MR,RW,EXP,MR,MR,MR,MR
2022-05,MR,MR,MR,MR,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,MR,MR,MR,MR,EXP,EXP,MR,MR,EXP,EXP,RW,MR,RW,EXP,EXP,MR,EXP,RW,MR,MR,RW,EXP,RW,EXP,EXP,EXP,MR,MR,RW,RW,MR,MR,MR,MR
2022-06,MR,MR,MR,MR,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,MR,MR,MR,MR,EXP,EXP,MR,MR,EXP,EXP,RW,MR,RW,EXP,EXP,MR,EXP,RW,MR,MR,RW,EXP,MR,EXP,EXP,EXP,MR,MR,RW,RW,MR,MR,MR,MR
2022-07,MR,MR,MR,MR,EXP,MR,EXP,EXP,EXP,EXP,EXP,EXP,MR,MR,MR,MR,EXP,EXP,MR,MR,EXP,EXP,RW,MR,RW,EXP,EXP,MR,EXP,RW,MR,MR,RW,EXP,MR,EXP,EXP,EXP,MR,MR,RW,RW,MR,MR,MR,MR
