market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,429,0.7821984194302236,1.1892498971631378,-0.0007025522757390141,0.007762636774848922,304,47,78,BOTH TAILS
nasdaq,USA (NASDAQ),429,-1.4139654472246346,-0.6985182578029623,0.015462410450961672,0.0003222895350918683,39,78,312,BOTH TAILS
djia,USA (DJIA),405,-0.8557694906879105,-0.1944630975165751,0.001469718158228158,-0.004551824462769824,91,80,234,BOTH TAILS
rut,USA (Small-Cap),429,-0.26113526330778214,0.9440533002197458,-0.006986593398300431,-0.012613574167218224,169,154,106,BOTH TAILS
rui,USA (Large-Cap),394,-1.1112641842321036,0.13391821655227076,0.013263858871587349,-0.005689383063389335,61,129,204,BOTH TAILS
sp400,USA (Mid-Cap),429,-1.9980720863911758,-0.3461523176092478,-0.02646395389497102,-0.0029171821355660895,26,133,270,BOTH TAILS
wilshire5000,USA (Total Mkt),429,-0.015864089542149795,0.23148654796003587,0.0009104768948445095,-0.0060264398850163785,200,29,200,BOTH TAILS
tsx,Canada,429,-1.8664263964184316,-1.4260634652709547,-0.01633715558787643,-0.001299925741967939,27,24,378,BOTH TAILS
ipc,Mexico,407,0.2325052394182925,0.453077118467514,-0.007387453843965969,-0.0022999074406745154,214,23,170,BOTH TAILS
bovespa,Brazil,390,-1.049031083044627,-0.40027862240558876,-0.06735013585977813,-0.009488034891011743,62,66,262,BOTH TAILS
ipsa,Chile,203,-1.3250084431955915,-0.8750803529084221,-0.057124035945163756,-0.01189061950262666,26,17,160,FEAR GAUGE
merval,Argentina,348,-0.1966125148512563,0.17518423383852788,0.00392878819103473,0.006713456024676246,133,40,175,BOTH TAILS
eurostoxx50,Eurozone,223,-2.7921410537829896,0.2718902279488504,-0.21711514379939426,-0.10928190656266831,13,105,105,FEAR GAUGE
ftse100,UK,429,-2.091510672276176,-0.22634196174441934,-0.08979651104542412,-0.0009355303869291484,22,146,261,BOTH TAILS
dax,Germany,429,0.3447179950072128,0.82131318734594,-0.004609512354500119,-7.00189779240967e-05,261,63,105,BOTH TAILS
cac40,France,427,0.38500652291841275,0.6283106552029705,-0.013920061455181647,0.00863359247517857,254,38,135,BOTH TAILS
ibex35,Spain,387,1.007485308337595,1.4887279439781764,-0.02521133082644792,0.008080837309571301,307,47,33,BOTH TAILS
smi,Switzerland,419,0.06950886216361551,0.6450811529595888,-0.014633364459064413,0.0032775569335014225,199,89,131,BOTH TAILS
aex,Netherlands,396,0.5142050035958632,0.7650548285619312,-0.010582983652943021,-8.902528775115957e-05,250,35,111,BOTH TAILS
ftsemib,Italy,334,-2.336609656852895,-0.7001842275614985,-0.12381561235047879,-0.015151650709104071,18,68,248,BOTH TAILS
iseq,Ireland,339,-0.4460176507428373,0.5249047912920273,0.0014894926194723428,-0.03411251014103209,122,86,131,BOTH TAILS
athex,Greece,338,-1.2617142695140042,-0.2413575029762649,-0.06479778317406143,-0.0056202539241255465,41,93,204,BOTH TAILS
bel20,Belgium,414,-1.863937891960739,-1.1921886727839572,-0.08232622218994672,-0.010758356951047028,24,39,351,BOTH TAILS
atx,Austria,395,-1.8518795524206177,-1.1991161666798917,-0.07917272065240745,-0.00562264871293778,29,34,332,BOTH TAILS
psi20,Portugal,150,-2.2611056498500663,0.5233238829161149,-0.07445987278465474,-0.21273615198611914,9,72,69,WEAK
omxstockholm,Sweden,203,-2.169352712116769,-1.6394408400715625,-0.045860892662895635,-0.002474253319364078,11,14,178,FEAR GAUGE
omxhelsinki,Finland,151,-1.970232421991858,-1.2148101931001931,-0.1818187881129517,-0.03923554212652539,14,16,121,WEAK
oseax,Norway,151,-1.61582959570734,-1.3605141967202634,0.015687607888500085,0.0014408077191400582,18,11,122,WEAK
ta125,Israel,396,-1.9658849066411894,1.6256668944894364,-0.025432079656374063,0.021238699900088583,20,349,27,FEAR GAUGE
ta35,Israel (TA-35),396,-1.6384160487855184,1.7276529199737802,0.02332841039258239,0.01682513149479371,33,341,22,FEAR GAUGE
bist100,Turkey,339,-1.6370751973608293,0.3373318933544205,0.03620327470360619,-0.022246133615497876,28,154,157,BOTH TAILS
jse,South Africa,164,-1.7532164937949486,-0.4294623960276305,-0.10366976162655614,-0.023620893545258134,18,44,102,WEAK
nikkei225,Japan,429,-1.1007030778477318,-0.27901605457435097,0.028734379870257457,-0.04693605936484495,78,83,268,BOTH TAILS
topix,Japan (TOPIX),213,-2.458314571934232,0.7103019334527509,-0.11775997326769551,-0.37996345066849213,14,126,73,FEAR GAUGE
shanghai,China (SSE),339,-1.6857230207371332,-0.5951372609958294,-0.14595983732850887,-0.03262825697869274,22,66,251,BOTH TAILS
szse,China (SZSE),338,-0.550267297961019,0.12054680683337304,0.01139439710487767,-0.016209666769767515,90,75,173,BOTH TAILS
hangseng,Hong Kong,429,-0.9415057787414952,-0.4062028767357717,-0.05260412815492233,-0.010421583638867006,86,68,275,BOTH TAILS
kospi,South Korea,346,-1.438208401535555,-0.5661823942539874,-0.03773661423502122,0.007540547435960402,35,69,242,BOTH TAILS
kosdaq,South Korea (KQ),300,-0.9811005553565593,-0.7212380604109265,-0.013074691119878822,-0.05216885300446076,58,16,226,BOTH TAILS
nifty50,India,217,-3.203784025131682,1.3533182588820547,-0.2302557085690512,-0.07633838136955559,11,174,32,FEAR GAUGE
sti,Singapore,429,-1.8333116638167157,-0.3669236050293827,-0.12283688276281789,0.009812758733856812,25,135,269,BOTH TAILS
twse,Taiwan,339,-0.8067936740164037,-0.01945888312156807,0.026097110547141148,-0.007122502825690228,77,77,185,BOTH TAILS
jkse,Indonesia,426,-1.1760958135674044,1.1581232503618333,-0.012649467908563127,0.013260240327098872,56,289,81,BOTH TAILS
lq45,Indonesia (LQ45),344,-0.5819410052805363,-0.1388760323999565,-0.021068071886467497,-0.009782229929649236,102,53,189,BOTH TAILS
klci,Malaysia,382,0.18954122521263583,1.0705424858471795,-0.03763661194273582,-0.02781332638055088,185,111,86,BOTH TAILS
set,Thailand,346,0.27815925656242735,1.6966531241827703,-0.026704462544127144,-0.02370256546262431,188,131,27,BOTH TAILS
psei,Philippines,429,0.05399701360668585,0.34603731390820425,-0.018719461881070727,-0.002311258030002008,213,31,185,BOTH TAILS
asx200,Australia,395,-2.170722406368877,-0.943067127626406,-0.13742282546585866,-0.0025444474620851475,20,54,321,BOTH TAILS
nzx50,New Zealand,273,-3.0432432934429046,-1.5581468693925702,-0.02228288896837867,-0.005964720972382876,14,21,238,FEAR GAUGE
