market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,430,-1.0481945471456573,1.3115911097399444,0.01586032238333979,0.010348916718720113,75,294,61,FEAR GAUGE
ftse100,UK,430,-1.6883478877574825,1.0719043357297429,-0.06891086648776389,0.003648390768550447,34,321,75,BOTH TAILS
dax,Germany,430,-1.459904410243605,1.557604227755472,-0.007739413759878511,0.015175841879191371,48,348,34,FEAR GAUGE
cac40,France,428,-0.8623874566815538,1.3301152406518575,0.02993758755951574,0.007302480891195424,88,286,54,FEAR GAUGE
nikkei225,Japan,430,-1.0349187857986382,1.6166194225275443,0.02251264868581215,-0.25647718856923785,82,321,27,BOTH TAILS
shanghai,China,340,-1.6005062494117064,1.5862197511294447,-0.06458768512776387,-3.8267894336400155e-05,27,292,21,FEAR GAUGE
hangseng,Hong Kong,430,-0.9615440276137909,1.3365239962475766,-0.04310541417062182,-0.02398213784629658,75,307,48,BOTH TAILS
kospi,South Korea,347,-1.0869597536186297,1.0823897670491913,-0.022100690514153597,0.025437976894942142,55,209,83,BOTH TAILS
nifty50,India,218,-2.3858151792135125,1.4082036904562873,-0.12471251134181145,-0.08660325477996872,14,180,24,FEAR GAUGE
tsx,Canada,430,-1.8286680922369707,1.578220739643229,-0.05459168993640195,0.009225105747508256,27,369,34,BOTH TAILS
asx200,Australia,396,-1.3595403507600272,0.8112716258721426,-0.045091079776711625,-0.00234928924913453,38,264,94,BOTH TAILS
bovespa,Brazil,391,-0.7815550211793989,1.533241033455016,-0.06703032958313764,0.01972012491593151,87,279,25,FEAR GAUGE
eurostoxx50,Eurozone,224,-2.3164991959527965,2.00740881248763,-0.20507164729855518,-0.3997957343335758,14,196,14,FEAR GAUGE
ibex35,Spain,388,-1.0699146352046247,1.4566311839261679,-0.07408023618754625,0.0008886309762021907,61,296,31,FEAR GAUGE
smi,Switzerland,420,-0.6172062344685992,0.9015041385745802,-0.036517134506807325,0.005914530497688111,93,234,93,BOTH TAILS
sti,Singapore,430,-1.867164270034163,1.4169399013276,-0.15243369451879452,0.07545981472026687,27,355,48,BOTH TAILS
twse,Taiwan,340,-1.4549618512242959,1.521994143457761,-0.035500800093948626,0.029389282879646303,32,270,38,BOTH TAILS
jse,South Africa,165,-1.8037856152580873,1.1645887354639706,-0.11967448739331576,-0.24840119051823592,18,121,26,WEAK
aex,Netherlands,397,-1.3313733917983799,0.9062525716450343,0.019261712306934384,-0.007648753509258506,44,259,94,BOTH TAILS
ipc,Mexico,408,-1.5447996367858126,1.2758246303204843,0.01831696106021707,0.006813910179791949,39,324,45,BOTH TAILS
jkse,Indonesia,427,-1.3103263115140056,1.555019869882328,0.013293881694619303,0.012272371549135174,61,339,27,BOTH TAILS
ta125,Israel,397,-1.1896241676776007,1.6635443016292735,-0.01568744944966802,0.020716858918130632,57,315,25,FEAR GAUGE
klci,Malaysia,383,-1.3161774410996452,1.054814429143342,0.019540238996719868,0.05665154737346754,55,243,85,BOTH TAILS
