market,country,F,p,gate,error
sp500,USA,0.093,0.9846,PASS,
nasdaq,USA (NASDAQ),0.419,0.7947,PASS,
djia,USA (DJIA),0.032,0.9981,PASS,
rut,USA (Small-Cap),0.054,0.9945,PASS,
rui,USA (Large-Cap),0.04,0.997,PASS,
sp400,USA (Mid-Cap),0.039,0.9971,PASS,
wilshire5000,USA (Total Mkt),0.095,0.9839,PASS,
tsx,Canada,0.071,0.9908,PASS,
ipc,Mexico,0.054,0.9945,PASS,
bovespa,Brazil,1.122,0.3455,PASS,
ipsa,Chile,0.088,0.9861,PASS,
colcap,,,,ERROR,'eq_colcap not in monthly panel'
merval,Argentina,0.818,0.5143,PASS,
eurostoxx50,Eurozone,0.055,0.9944,PASS,
ftse100,UK,0.156,0.9603,PASS,
dax,Germany,0.06,0.9933,PASS,
cac40,France,0.037,0.9974,PASS,
ibex35,Spain,0.04,0.997,PASS,
smi,Switzerland,0.069,0.9913,PASS,
aex,Netherlands,0.053,0.9948,PASS,
ftsemib,Italy,0.175,0.9509,PASS,
iseq,Ireland,0.155,0.9608,PASS,
athex,Greece,0.029,0.9984,PASS,
bel20,Belgium,0.059,0.9936,PASS,
atx,Austria,0.069,0.9914,PASS,
psi20,Portugal,0.206,0.9349,PASS,
omxstockholm,Sweden,0.333,0.8555,PASS,
omxhelsinki,Finland,0.19,0.9435,PASS,
omxcopenhagen,Denmark,0.233,0.9191,PASS,
oseax,Norway,0.499,0.7362,PASS,
wig20,,,,ERROR,'eq_wig20 not in monthly panel'
px,,,,ERROR,'eq_px not in monthly panel'
ta125,Israel,0.181,0.948,PASS,
ta35,Israel (TA-35),0.076,0.9896,PASS,
bist100,Turkey,0.495,0.7396,PASS,
jse,South Africa,0.186,0.9453,PASS,
egx30,,,,ERROR,'eq_egx30 not in monthly panel'
nikkei225,Japan,0.65,0.6274,PASS,
topix,Japan (TOPIX),21.367,0.0,FAIL,
shanghai,China (SSE),0.089,0.9859,PASS,
csi300,China (CSI 300),0.068,0.9912,PASS,
szse,China (SZSE),0.27,0.8973,PASS,
hangseng,Hong Kong,0.117,0.9766,PASS,
kospi,South Korea,1.7,0.1496,PASS,
kosdaq,South Korea (KQ),0.669,0.6143,PASS,
nifty50,India,0.303,0.8758,PASS,
sti,Singapore,0.396,0.8112,PASS,
twse,Taiwan,0.606,0.6582,PASS,
jkse,Indonesia,0.43,0.7872,PASS,
lq45,Indonesia (LQ45),0.478,0.7522,PASS,
klci,Malaysia,0.334,0.8551,PASS,
set,Thailand,0.223,0.9253,PASS,
psei,Philippines,0.488,0.7443,PASS,
asx200,Australia,0.065,0.9921,PASS,
nzx50,New Zealand,0.018,0.9993,PASS,
