market,country,CCI,CCI_F,CCI_p,VIX_m,VIX_m_F,VIX_m_p,BCI_m,BCI_m_F,BCI_m_p,error
sp500,USA,FAIL,5.698,0.0002,FAIL,7.713,0.0,FAIL,3.118,0.0151,
nasdaq,USA (NASDAQ),FAIL,3.866,0.0043,FAIL,5.78,0.0002,FAIL,2.772,0.0269,
djia,USA (DJIA),FAIL,4.849,0.0008,FAIL,5.636,0.0002,FAIL,2.682,0.0313,
rut,USA (Small-Cap),FAIL,4.02,0.0033,FAIL,5.375,0.0003,FAIL,3.187,0.0135,
rui,USA (Large-Cap),FAIL,5.418,0.0003,FAIL,7.375,0.0,FAIL,3.113,0.0153,
sp400,USA (Mid-Cap),FAIL,4.136,0.0027,FAIL,5.79,0.0002,FAIL,3.476,0.0083,
wilshire5000,USA (Total Mkt),FAIL,5.889,0.0001,FAIL,7.97,0.0,FAIL,3.467,0.0084,
tsx,Canada,FAIL,4.345,0.0019,FAIL,5.016,0.0006,FAIL,4.315,0.002,
ipc,Mexico,PASS,1.824,0.1234,FAIL,3.127,0.0149,PASS,1.302,0.2688,
bovespa,Brazil,PASS,1.301,0.269,FAIL,2.618,0.0348,PASS,1.679,0.1541,
ipsa,Chile,PASS,0.975,0.4226,PASS,1.594,0.1774,PASS,0.58,0.6775,
colcap,Colombia,,,,,,,,,,'eq_colcap not in monthly panel'
merval,Argentina,PASS,0.478,0.7519,PASS,2.046,0.0876,FAIL,3.629,0.0065,
eurostoxx50,Eurozone,FAIL,4.202,0.0027,PASS,2.081,0.0843,FAIL,3.206,0.0139,
ftse100,UK,FAIL,2.531,0.04,FAIL,6.155,0.0001,FAIL,3.212,0.0129,
dax,Germany,FAIL,3.648,0.0062,FAIL,4.856,0.0008,FAIL,2.538,0.0395,
cac40,France,FAIL,4.12,0.0028,FAIL,5.336,0.0003,FAIL,3.258,0.012,
ibex35,Spain,PASS,2.321,0.0564,PASS,1.951,0.1014,FAIL,2.721,0.0294,
smi,Switzerland,PASS,1.536,0.1908,FAIL,4.222,0.0023,PASS,1.596,0.1745,
aex,Netherlands,PASS,1.432,0.2226,FAIL,4.296,0.0021,PASS,1.773,0.1335,
ftsemib,Italy,FAIL,3.491,0.0083,PASS,1.246,0.2911,FAIL,3.072,0.0166,
iseq,Ireland,FAIL,3.037,0.0176,FAIL,3.399,0.0096,FAIL,3.747,0.0054,
athex,Greece,PASS,1.757,0.1372,PASS,1.539,0.1904,PASS,1.564,0.1836,
bel20,Belgium,FAIL,4.906,0.0007,FAIL,4.121,0.0028,FAIL,3.296,0.0112,
atx,Austria,FAIL,3.919,0.0039,FAIL,3.573,0.0071,FAIL,4.849,0.0008,
psi20,Portugal,PASS,2.194,0.0726,PASS,0.709,0.5871,PASS,2.359,0.0563,
omxstockholm,Sweden,FAIL,2.623,0.0361,PASS,2.207,0.0697,PASS,1.369,0.246,
omxhelsinki,Finland,FAIL,3.953,0.0045,PASS,1.904,0.1128,FAIL,4.148,0.0033,
omxcopenhagen,Denmark,PASS,1.705,0.155,FAIL,2.503,0.0471,PASS,1.269,0.2875,
oseax,Norway,FAIL,2.601,0.0385,FAIL,2.684,0.0338,FAIL,5.351,0.0005,
wig20,Poland,,,,,,,,,,'eq_wig20 not in monthly panel'
px,Czech Republic,,,,,,,,,,'eq_px not in monthly panel'
ta125,Israel,PASS,1.213,0.3046,PASS,1.491,0.2041,FAIL,2.737,0.0286,
ta35,Israel (TA-35),PASS,1.426,0.2245,PASS,1.178,0.3198,PASS,2.098,0.0804,
bist100,Turkey,PASS,0.849,0.4952,PASS,1.12,0.3469,PASS,1.004,0.4053,
jse,South Africa,FAIL,2.645,0.0356,PASS,1.701,0.1524,FAIL,5.892,0.0002,
