market,country,cci_inefficient,comp_inefficient,beta3_cci,beta3_composite,cci_verdict,comp_verdict
sp500,USA,6.7,31.6,-0.7858,0.0103,BOTH TAILS,FEAR GAUGE
ftse100,UK,9.2,25.3,-0.8426,0.0036,BOTH TAILS,BOTH TAILS
dax,Germany,3.0,19.1,-0.7814,0.0152,EUPHORIA GAUGE,FEAR GAUGE
cac40,France,11.1,33.2,-0.0567,0.0073,EUPHORIA GAUGE,FEAR GAUGE
nikkei225,Japan,66.3,25.3,-0.0351,-0.2565,BOTH TAILS,BOTH TAILS
shanghai,China,48.0,14.1,-0.3605,-0.0,BOTH TAILS,FEAR GAUGE
hangseng,Hong Kong,12.6,28.6,-0.8646,-0.024,BOTH TAILS,BOTH TAILS
kospi,South Korea,30.9,39.8,-0.089,0.0254,BOTH TAILS,BOTH TAILS
nifty50,India,38.8,17.4,-0.0585,-0.0866,FEAR GAUGE,FEAR GAUGE
tsx,Canada,7.8,14.2,-0.2146,0.0092,BOTH TAILS,BOTH TAILS
asx200,Australia,80.8,33.3,-0.0098,-0.0023,EUPHORIA GAUGE,BOTH TAILS
bovespa,Brazil,49.6,28.6,0.0,0.0197,FEAR GAUGE,FEAR GAUGE
eurostoxx50,Eurozone,47.0,12.5,-0.0835,-0.3998,WEAK,FEAR GAUGE
ibex35,Spain,14.0,23.7,-0.1496,0.0009,BOTH TAILS,FEAR GAUGE
smi,Switzerland,13.6,44.3,-0.1787,0.0059,BOTH TAILS,BOTH TAILS
sti,Singapore,10.8,17.4,-0.3128,0.0755,BOTH TAILS,BOTH TAILS
twse,Taiwan,13.3,20.6,-0.1515,0.0294,EUPHORIA GAUGE,BOTH TAILS
jse,South Africa,46.8,26.7,-0.1882,-0.2484,WEAK,WEAK
aex,Netherlands,15.4,34.8,-0.1111,-0.0076,BOTH TAILS,BOTH TAILS
ipc,Mexico,29.7,20.6,-0.8274,0.0068,BOTH TAILS,BOTH TAILS
jkse,Indonesia,15.0,20.6,-0.2594,0.0123,BOTH TAILS,BOTH TAILS
ta125,Israel,12.4,20.7,-0.1923,0.0207,BOTH TAILS,FEAR GAUGE
klci,Malaysia,9.8,36.6,-0.2736,0.0567,EUPHORIA GAUGE,BOTH TAILS
