market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict,cci_p,cci_gate
sp500,USA,436,97.66777777777776,101.93444444444444,0.0290661979873932,-0.7858114933687915,17,407,12,BOTH TAILS,0.0002,FAIL
ftse100,UK,436,97.7388888888889,101.7211111111111,0.0485374574675668,-0.8425587008240764,18,396,22,BOTH TAILS,0.04,FAIL
dax,Germany,436,96.95666666666666,102.14777777777778,-1.1735031009922443,-0.7813646623759348,5,423,8,EUPHORIA GAUGE,0.0062,FAIL
cac40,France,434,96.9560606060606,101.28767676767676,-1.469585803487755,-0.0567246105398105,5,386,43,EUPHORIA GAUGE,0.0028,FAIL
nikkei225,Japan,436,97.88111111111112,99.87222222222222,0.0489131470322287,-0.0350646605512207,25,147,264,BOTH TAILS,0.3409,PASS
shanghai,China,346,100.16666666666669,102.23666666666666,-0.0626399838119351,-0.3605448530204857,162,180,4,BOTH TAILS,0.9593,PASS
hangseng,Hong Kong,436,98.45,102.00555555555556,-0.1363892801565569,-0.8645923851775706,44,381,11,BOTH TAILS,0.273,PASS
kospi,South Korea,353,98.73333333333332,101.25666666666666,0.0584492755496231,-0.0890223853782475,65,244,44,BOTH TAILS,0.9022,PASS
nifty50,India,224,97.8409090909091,100.36363636363636,0.007332531067216,-0.058457276470013,23,137,64,FEAR GAUGE,0.028,FAIL
tsx,Canada,436,97.81,102.00555555555556,0.0146017772450824,-0.2145662632538341,23,402,11,BOTH TAILS,0.0019,FAIL
asx200,Australia,402,96.92262626262624,98.9731313131313,-1.4748434128332777,-0.009752288518475,5,77,320,EUPHORIA GAUGE,0.0,FAIL
bovespa,Brazil,397,100.44444444444446,102.429898989899,-0.0506131524358544,0.0,197,200,0,FEAR GAUGE,0.269,PASS
eurostoxx50,Eurozone,230,96.97444444444444,99.45444444444443,-1.3439529888842163,-0.0835314004967933,5,122,103,WEAK,0.0027,FAIL
ibex35,Spain,394,97.12838383838384,101.18949494949496,-0.7603178254621563,-0.1496425748238491,8,339,47,BOTH TAILS,0.0564,PASS
smi,Switzerland,426,97.28444444444445,101.20666666666666,0.0701475056642623,-0.1787438786363354,12,368,46,BOTH TAILS,0.1908,PASS
sti,Singapore,436,97.88111111111112,101.7211111111111,-0.0042376632127662,-0.312831036992235,25,389,22,BOTH TAILS,0.4329,PASS
twse,Taiwan,346,97.02333333333334,101.31666666666666,-0.7991480631090453,-0.1515212762525597,6,300,40,EUPHORIA GAUGE,0.6034,PASS
jse,South Africa,171,98.26494949494948,100.409898989899,-0.1258612205564802,-0.1881884055874206,21,91,59,WEAK,0.0356,FAIL
aex,Netherlands,403,97.79949494949494,101.38292929292928,0.0313528855532984,-0.1110957954186768,22,341,40,BOTH TAILS,0.2226,PASS
ipc,Mexico,414,99.26666666666668,102.0111111111111,-0.0202512885389594,-0.8274089043415885,112,291,11,BOTH TAILS,0.1234,PASS
jkse,Indonesia,433,97.8,101.28444444444445,-0.0043438613857462,-0.2593522774104508,22,368,43,BOTH TAILS,0.7289,PASS
ta125,Israel,403,98.0920202020202,101.67545454545456,0.0132180945731805,-0.1923421822219573,28,353,22,BOTH TAILS,0.3046,PASS
klci,Malaysia,389,97.05636363636364,101.49878787878788,-1.2546981807631492,-0.2736107861668876,6,351,32,EUPHORIA GAUGE,0.8462,PASS
ftsemib,Italy,341,96.93363636363635,101.36272727272728,-1.2818903285918857,-0.191537026614469,5,302,34,EUPHORIA GAUGE,0.0083,FAIL
nasdaq,USA (NASDAQ),436,97.52555555555556,102.00555555555556,0.0093304501003546,-0.6836309733929669,14,411,11,BOTH TAILS,0.0043,FAIL
rut,USA (Small),436,97.52555555555556,102.14777777777778,0.0344110900399628,-0.89051672085778,14,414,8,BOTH TAILS,0.0033,FAIL
rui,USA (Large),401,97.65494949494948,101.24333333333333,0.0289424685670799,-0.0981711643132255,17,338,46,BOTH TAILS,0.0003,FAIL
ipsa,Chile,209,97.54,101.08,-0.9478498359561056,-0.0972085436499828,6,189,14,FEAR GAUGE,0.4226,PASS
iseq,Ireland,346,96.94666666666669,99.4,-1.628051408083204,-0.03625513728312,5,117,224,EUPHORIA GAUGE,0.0176,FAIL
athex,Greece,345,97.55181818181818,101.54373737373736,-0.1582593522574576,-0.270240211178605,14,305,26,BOTH TAILS,0.1372,PASS
djia,USA (DJIA),412,96.94696969696967,101.79939393939394,-1.4533977631802817,-1.0926093170567222,5,390,17,EUPHORIA GAUGE,0.0008,FAIL
sp400,USA (Mid),436,96.95666666666666,101.43666666666668,-1.5037862741680283,-0.0836050550934387,5,397,34,EUPHORIA GAUGE,0.0027,FAIL
wilshire5000,USA (Total),436,97.52555555555556,101.93444444444444,0.0245865850093233,-0.6349805139482507,14,410,12,BOTH TAILS,0.0001,FAIL
bel20,Belgium,421,97.7709090909091,102.21737373737372,0.0483179173247362,-0.9759526919145788,20,396,5,BOTH TAILS,0.0007,FAIL
atx,Austria,402,97.80141414141414,101.24333333333333,-0.0498200459630668,-0.1715517151957326,22,334,46,BOTH TAILS,0.0039,FAIL
set,Thailand,353,97.73929292929292,101.25666666666666,0.0300927825991407,-0.1855636009334934,18,291,44,BOTH TAILS,0.8005,PASS
psei,Philippines,436,100.15666666666668,102.21888888888888,-0.0198347787444133,-0.3253905865307238,196,235,5,BOTH TAILS,0.5638,PASS
