market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,435,-4.0226,0.2844262626262628,-0.014610831234254561,-0.003397021951284817,9,220,206,BOTH TAILS
ftse100,UK,435,-3.1286888888888886,-2.6411010101010097,-0.11052629086440985,-0.007686791238802293,13,1,421,BOTH TAILS
dax,Germany,435,-1.4221313131313131,0.2844262626262628,0.031042837001002997,-0.0057952360946151955,40,189,206,BOTH TAILS
cac40,France,433,-4.0326,0.2816535353535352,-0.25869620948152433,-0.0028475622388759517,9,219,205,BOTH TAILS
nikkei225,Japan,435,-0.9345434343434342,-0.2844262626262628,0.02889150373439679,-0.038935578532815505,76,89,270,BOTH TAILS
shanghai,China,345,0.43444444444444485,1.6671939393939397,-0.03251258056443912,-0.3091292378489955,194,134,17,FEAR GAUGE
hangseng,Hong Kong,435,-3.1286888888888886,-1.9909838383838383,-0.11428829539497018,-0.01568886519186226,13,8,414,BOTH TAILS
kospi,South Korea,352,-1.3026979797979799,0.44598888888888855,-0.04703122562353027,0.012151972241349805,51,145,156,BOTH TAILS
nifty50,India,223,-4.429311111111112,-3.276644444444445,-0.2338723354500396,0.00042689030804917636,8,4,211,FEAR GAUGE
tsx,Canada,435,-4.0226,0.9345434343434338,-0.2141933001728658,-0.010164711482058162,9,317,109,BOTH TAILS
asx200,Australia,401,-4.1379,-3.1317666666666666,-0.29848087233362197,-0.007488932549616494,9,4,388,BOTH TAILS
bovespa,Brazil,396,-4.1502,-0.8642333333333334,-0.2699881632592842,-0.03689882645989915,9,66,321,BOTH TAILS
eurostoxx50,Eurozone,229,-4.39279393939394,0.3217484848484853,-0.4155377904845108,-0.06626829579978478,9,128,92,FEAR GAUGE
ibex35,Spain,393,-4.1554,-1.4520787878787877,-0.5189996548616352,-0.01754630179900399,9,30,354,BOTH TAILS
smi,Switzerland,425,0.443144444444445,1.1798262626262632,-0.01517630526289528,0.0052663500322018405,250,98,77,BOTH TAILS
sti,Singapore,435,-4.0226,-3.535012121212121,-0.3540721088466669,-0.010675562612964365,9,2,424,BOTH TAILS
twse,Taiwan,345,-4.4085,-3.2638040404040405,-0.21287383305923796,0.007598889409830877,8,4,333,BOTH TAILS
jse,South Africa,170,-3.6115,-1.8558878787878788,-1.5349696818443819,-0.004482467993725041,3,6,161,WEAK
aex,Netherlands,402,-3.1326121212121216,-2.713617171717172,-0.00599809213691362,-0.013457593531901638,13,1,388,BOTH TAILS
ipc,Mexico,413,-4.0928,1.4512131313131311,-0.19244830491008477,0.028566329063312867,9,363,41,BOTH TAILS
jkse,Indonesia,432,-4.0372,-0.9420808080808079,-0.09850200348160935,-0.0014266477655732641,9,63,360,BOTH TAILS
ta125,Israel,402,-2.881215151515152,-1.2052353535353544,-0.09380721269634548,0.001689176310841472,14,41,347,BOTH TAILS
klci,Malaysia,388,0.16165454545454505,0.925781818181818,-0.025540570354037603,-0.02767468208729293,173,107,108,BOTH TAILS
