market,exog_3,exog_2,exog_6,rw_3,rw_2,rw_6,b3_3,b3_2,b3_6,verdict_3,verdict_2,verdict_6
sp500,FAIL,FAIL,FAIL,50.6,96.8,43.4,-0.0034,-1.274,0.0006,BOTH TAILS,BOTH TAILS,BOTH TAILS
ftse100,FAIL,FAIL,FAIL,0.2,0.2,47.6,-0.0077,-0.0083,-0.0119,BOTH TAILS,BOTH TAILS,BOTH TAILS
dax,FAIL,FAIL,FAIL,43.4,96.8,47.6,-0.0058,-0.7814,-0.0037,BOTH TAILS,BOTH TAILS,BOTH TAILS
cac40,FAIL,FAIL,FAIL,50.6,34.4,47.8,-0.0028,-0.5248,-0.0005,BOTH TAILS,BOTH TAILS,BOTH TAILS
nikkei225,PASS,PASS,PASS,20.5,31.3,43.4,-0.0389,-0.0394,-0.0369,BOTH TAILS,BOTH TAILS,BOTH TAILS
shanghai,FAIL,PASS,PASS,38.8,21.7,84.1,-0.3091,-0.0365,-0.0426,FEAR GAUGE,BOTH TAILS,FEAR GAUGE
hangseng,PASS,PASS,PASS,1.8,11.5,11.3,-0.0157,-1.0452,-0.016,BOTH TAILS,BOTH TAILS,BOTH TAILS
kospi,PASS,PASS,PASS,41.2,23.0,72.4,0.0122,0.0543,0.04,BOTH TAILS,BOTH TAILS,BOTH TAILS
nifty50,FAIL,FAIL,FAIL,1.8,0.4,0.4,0.0004,0.0001,-0.0037,FEAR GAUGE,FEAR GAUGE,FEAR GAUGE
tsx,PASS,FAIL,FAIL,72.9,0.2,67.4,-0.0102,-0.0005,-0.0068,BOTH TAILS,BOTH TAILS,BOTH TAILS
asx200,FAIL,FAIL,PASS,1.0,0.2,91.0,-0.0075,-0.0085,-0.0262,BOTH TAILS,BOTH TAILS,FEAR GAUGE
bovespa,FAIL,PASS,PASS,16.7,28.5,29.5,-0.0369,-1.0263,-0.0398,BOTH TAILS,BOTH TAILS,BOTH TAILS
eurostoxx50,PASS,FAIL,PASS,55.9,0.4,53.3,-0.0663,-0.0156,-0.0497,FEAR GAUGE,FEAR GAUGE,FEAR GAUGE
ibex35,PASS,FAIL,PASS,7.6,96.7,45.0,-0.0175,-1.3578,-0.0071,BOTH TAILS,BOTH TAILS,BOTH TAILS
smi,PASS,PASS,FAIL,23.1,33.6,19.3,0.0053,-0.0063,-0.0098,BOTH TAILS,BOTH TAILS,BOTH TAILS
sti,PASS,FAIL,PASS,0.5,95.9,0.5,-0.0107,-0.6617,-0.0103,BOTH TAILS,BOTH TAILS,BOTH TAILS
twse,PASS,FAIL,PASS,1.2,0.6,0.9,0.0076,0.0059,0.0069,BOTH TAILS,BOTH TAILS,BOTH TAILS
jse,PASS,FAIL,PASS,3.5,84.7,2.4,-0.0045,-0.1946,0.0027,WEAK,WEAK,WEAK
aex,PASS,PASS,PASS,0.2,0.2,39.3,-0.0135,-0.0138,-0.0098,BOTH TAILS,BOTH TAILS,BOTH TAILS
ipc,FAIL,PASS,FAIL,87.9,17.4,1.0,0.0286,-1.0884,-0.0047,BOTH TAILS,BOTH TAILS,BOTH TAILS
jkse,PASS,PASS,PASS,14.6,52.8,91.9,-0.0014,0.0187,-0.026,BOTH TAILS,BOTH TAILS,FEAR GAUGE
ta125,PASS,PASS,PASS,10.2,90.0,92.5,0.0017,-0.7818,0.0861,BOTH TAILS,BOTH TAILS,FEAR GAUGE
klci,PASS,PASS,PASS,27.6,41.8,36.9,-0.0277,-0.5905,-0.0508,BOTH TAILS,BOTH TAILS,FEAR GAUGE
