market,country,cci_inefficient,raw_inefficient,beta3_cci,beta3_raw,cci_verdict,raw_verdict
sp500,USA,6.7,49.4,-0.7858,-0.0034,BOTH TAILS,BOTH TAILS
ftse100,UK,9.2,99.8,-0.8426,-0.0077,BOTH TAILS,BOTH TAILS
dax,Germany,3.0,56.6,-0.7814,-0.0058,EUPHORIA GAUGE,BOTH TAILS
cac40,France,11.1,49.4,-0.0567,-0.0028,EUPHORIA GAUGE,BOTH TAILS
nikkei225,Japan,66.3,79.5,-0.0351,-0.0389,BOTH TAILS,BOTH TAILS
shanghai,China,48.0,61.2,-0.3605,-0.3091,BOTH TAILS,FEAR GAUGE
hangseng,Hong Kong,12.6,98.2,-0.8646,-0.0157,BOTH TAILS,BOTH TAILS
kospi,South Korea,30.9,58.8,-0.089,0.0122,BOTH TAILS,BOTH TAILS
nifty50,India,38.8,98.2,-0.0585,0.0004,FEAR GAUGE,FEAR GAUGE
tsx,Canada,7.8,27.1,-0.2146,-0.0102,BOTH TAILS,BOTH TAILS
asx200,Australia,80.8,99.0,-0.0098,-0.0075,EUPHORIA GAUGE,BOTH TAILS
bovespa,Brazil,49.6,83.3,0.0,-0.0369,FEAR GAUGE,BOTH TAILS
eurostoxx50,Eurozone,47.0,44.1,-0.0835,-0.0663,WEAK,FEAR GAUGE
ibex35,Spain,14.0,92.4,-0.1496,-0.0175,BOTH TAILS,BOTH TAILS
smi,Switzerland,13.6,76.9,-0.1787,0.0053,BOTH TAILS,BOTH TAILS
sti,Singapore,10.8,99.5,-0.3128,-0.0107,BOTH TAILS,BOTH TAILS
twse,Taiwan,13.3,98.8,-0.1515,0.0076,EUPHORIA GAUGE,BOTH TAILS
jse,South Africa,46.8,96.5,-0.1882,-0.0045,WEAK,WEAK
aex,Netherlands,15.4,99.8,-0.1111,-0.0135,BOTH TAILS,BOTH TAILS
ipc,Mexico,29.7,12.1,-0.8274,0.0286,BOTH TAILS,BOTH TAILS
jkse,Indonesia,15.0,85.4,-0.2594,-0.0014,BOTH TAILS,BOTH TAILS
ta125,Israel,12.4,89.8,-0.1923,0.0017,BOTH TAILS,BOTH TAILS
klci,Malaysia,9.8,72.4,-0.2736,-0.0277,EUPHORIA GAUGE,BOTH TAILS
