window_end,c1,c2
1999-12,97.285,101.342
2000-12,98.533,101.342
2001-12,98.533,101.342
2002-12,98.637,103.007
2003-12,99.366,103.007
2004-12,99.054,103.007
2005-12,100.926,103.007
2006-12,100.926,103.007
2007-12,100.926,103.007
2008-12,96.557,103.007
2009-12,96.557,101.342
2010-12,96.557,102.175
2011-12,96.765,101.759
2012-12,96.765,98.741
2013-12,96.453,98.429
2014-12,96.453,98.429
2015-12,96.453,98.429
2016-12,96.453,98.429
2017-12,96.765,102.383
2018-12,96.14,98.117
2019-12,96.765,99.99
2020-12,96.765,99.99
2021-12,99.47,102.383
2022-12,97.493,99.782
2023-12,97.493,99.47
