window_end,c1,c2
1993-12,89.657,91.798
1994-12,91.798,97.687
1995-12,91.263,97.687
1996-12,70.919,73.061
1997-12,91.263,97.687
1998-12,103.576,105.717
1999-12,103.576,105.717
2000-12,76.808,105.717
2001-12,93.939,105.717
2002-12,93.939,105.717
2003-12,93.404,105.717
2004-12,93.404,105.717
2005-12,93.404,105.717
2006-12,93.404,105.717
2007-12,93.404,106.788
2008-12,80.02,105.717
2009-12,61.283,68.778
2010-12,61.283,68.778
2011-12,59.677,68.778
2012-12,59.677,68.778
2013-12,59.677,68.778
2014-12,59.677,61.818
2015-12,59.677,61.818
2016-12,59.677,61.818
2017-12,59.677,68.778
2018-12,59.677,61.818
2019-12,68.242,95.01
2020-12,61.283,67.707
2021-12,78.949,82.162
2022-12,57.0,59.141
2023-12,57.0,59.141
2024-12,62.354,99.828
2025-12,87.515,89.657
