window_end,c1,c2
2000-02,-0.0201,0.0395
2001-02,-0.0201,0.0421
2002-02,-0.0046,0.0421
2003-02,-0.0848,-0.0615
2004-02,-0.0848,-0.0615
2005-02,-0.0848,-0.0615
2006-02,-0.0848,-0.0615
2007-02,-0.0848,-0.0615
2008-02,-0.0848,-0.0615
2009-02,-0.0926,-0.0615
2010-02,-0.1159,-0.0874
2011-02,-0.0926,-0.0615
2012-02,-0.0926,-0.0564
2013-02,-0.0926,-0.0823
2014-02,-0.0926,-0.0823
2015-02,-0.0926,-0.0823
2016-02,-0.0926,-0.0823
2017-02,-0.0926,-0.0823
2018-02,-0.0926,-0.0823
2019-02,0.0136,0.0524
2020-02,-0.0382,-0.0253
2021-02,-0.0952,-0.0848
2022-02,-0.0952,-0.0848
2023-02,-0.0305,-0.0201
2024-02,-0.09,-0.0382
2025-02,-0.0305,-0.0201
2026-02,-0.09,-0.0797
