window_end,c1,c2
1999-12,0.147,0.423
2000-12,0.147,0.423
2001-12,0.122,0.247
2002-12,0.122,0.247
2003-12,0.122,0.373
2004-12,0.122,0.247
2005-12,0.122,0.373
2006-12,0.122,0.373
2007-12,0.122,0.373
2008-12,-1.305,0.673
2009-12,-1.305,0.698
2010-12,-1.305,0.698
2011-12,-1.305,0.698
2012-12,-1.53,-1.305
2013-12,-1.53,-1.305
2014-12,-1.305,0.222
2015-12,-1.305,0.222
2016-12,-1.305,0.222
2017-12,-1.305,0.222
2018-12,-0.178,0.047
2019-12,0.047,0.172
2020-12,-1.53,-0.403
2021-12,-1.53,-0.403
2022-12,0.047,0.448
2023-12,0.047,0.448
2024-12,0.047,0.448
2025-12,0.047,0.523
