window_end,c1,c2
1999-12,99.057,101.09
2000-12,99.057,101.028
2001-12,98.44,100.474
2002-12,100.474,102.445
2003-12,100.474,102.445
2004-12,100.474,102.445
2005-12,98.502,100.474
2006-12,98.502,100.474
2007-12,100.659,102.63
2008-12,97.27,99.858
2009-12,97.27,99.858
2010-12,97.27,100.659
2011-12,97.27,100.659
2012-12,97.27,99.673
2013-12,97.27,100.474
2014-12,97.27,100.659
2015-12,97.27,100.659
2016-12,97.27,100.659
2017-12,97.27,100.659
2018-12,96.9,100.659
2019-12,96.9,100.659
2020-12,98.071,101.398
2021-12,98.071,102.014
2022-12,97.578,101.768
2023-12,97.578,101.768
2024-12,98.071,101.768
2025-12,98.071,101.768
