window_end,c1,c2
1999-12,98.022,101.119
2000-12,98.243,101.709
2001-12,100.751,102.741
2002-12,100.751,102.741
2003-12,100.456,102.668
2004-12,100.751,102.741
2005-12,96.4,101.119
2006-12,99.571,101.709
2007-12,99.202,101.34
2008-12,99.128,102.446
2009-12,97.064,102.446
2010-12,97.064,100.529
2011-12,97.064,101.119
2012-12,97.064,101.119
2013-12,97.064,101.119
2014-12,97.064,99.055
2015-12,97.064,100.529
2016-12,97.064,100.529
2017-12,97.064,99.276
2018-12,96.916,99.276
2019-12,97.948,101.488
2020-12,97.137,99.276
2021-12,99.276,101.34
2022-12,97.137,100.161
2023-12,97.137,100.161
