window_end,c1,c2
2000-06,-1.5939,-0.8941
2001-06,-0.6609,0.8941
2002-06,-0.9719,-0.2721
2003-06,-1.0496,-0.2721
2004-06,-1.0496,-0.2721
2005-06,-1.0496,-0.2721
2006-06,0.5831,1.1274
2007-06,0.5831,1.1274
2008-06,0.5831,1.1274
2009-06,-3.2266,-2.1381
2010-06,-3.2266,-2.6824
2011-06,-3.2266,-2.6824
2012-06,-3.7709,-0.8941
2013-06,-3.7709,-0.8941
2014-06,-3.7709,-0.8941
2015-06,-3.7709,-0.8941
2016-06,-3.7709,-0.8941
2017-06,-3.7709,-0.8941
2018-06,-3.7709,-0.8941
2019-06,-1.3606,-0.8941
2020-06,-3.4599,-0.8941
2021-06,-3.4599,1.7494
2022-06,-3.4599,-1.5939
2023-06,-3.4599,-0.9719
2024-06,-3.4599,-0.7386
2025-06,-3.4599,-0.0389
