window_end,c1,c2
1987-12,89.657,96.081
1988-12,89.657,91.798
1989-12,89.657,91.798
1990-12,89.657,91.798
1991-12,89.657,91.798
1992-12,89.657,91.798
1993-12,89.657,91.798
1994-12,70.919,89.657
1995-12,70.919,89.657
1996-12,70.919,76.808
1997-12,70.919,100.364
1998-12,103.576,105.717
1999-12,103.576,105.717
2000-12,76.273,107.323
2001-12,93.939,107.323
2002-12,93.939,107.323
2003-12,93.404,107.323
2004-12,94.475,107.323
2005-12,93.404,107.323
2006-12,93.404,107.323
2007-12,93.404,107.323
2008-12,58.071,107.323
2009-12,57.535,59.677
2010-12,58.071,68.778
2011-12,59.677,68.778
2012-12,57.535,59.677
2013-12,59.677,68.778
2014-12,59.677,68.778
2015-12,59.677,68.778
2016-12,59.677,68.778
2017-12,59.677,68.778
2018-12,59.677,68.778
2019-12,68.242,98.222
2020-12,77.879,99.828
2021-12,78.949,99.828
2022-12,73.061,98.222
2023-12,77.343,99.828
2024-12,58.606,98.222
2025-12,77.343,98.222
