market,country,T,c1,c2,c1_pct,c2_pct,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,434,-0.09520101010101009,-0.08484141414141413,-9.52,-8.48,0.05043128272656649,-0.0012160120458789966,9,8,417,BOTH TAILS
ftse100,UK,434,-0.06153232323232322,-0.020093939393939386,-6.15,-2.01,0.04701251100024929,-0.005419429969522919,31,65,338,BOTH TAILS
dax,Germany,434,-0.06153232323232322,0.07573232323232325,-6.15,7.57,0.0472607572628096,-0.01238421644091655,31,385,18,BOTH TAILS
cac40,France,432,-0.116210101010101,-0.08766565656565656,-11.62,-8.77,-0.2508599811065975,-0.00760915223263702,5,9,418,BOTH TAILS
nikkei225,Japan,434,-0.07448181818181818,0.09127171717171721,-7.45,9.13,0.0007618250785889818,0.08310742078070595,21,407,6,FEAR GAUGE
shanghai,China,344,-0.09585454545454544,-0.0633090909090909,-9.59,-6.33,-0.05532884478611125,-0.01958526045857572,8,20,316,BOTH TAILS
hangseng,Hong Kong,434,-0.11592020202020202,-0.0926111111111111,-11.59,-9.26,-0.029786899701978845,-0.019023606610444364,5,5,424,BOTH TAILS
kospi,South Korea,351,-0.051990909090909074,0.0920727272727273,-5.2,9.21,0.05268639774826778,0.1918371286121857,40,306,5,FEAR GAUGE
nifty50,India,222,-0.09678787878787878,-0.08571717171717172,-9.68,-8.57,0.03166832412182806,-0.004830887274279831,4,7,211,FEAR GAUGE
tsx,Canada,434,-0.09520101010101009,-0.08484141414141413,-9.52,-8.48,0.07186283768586779,-0.0010812181703011726,9,8,417,BOTH TAILS
asx200,Australia,400,-0.09576969696969698,-0.08535757575757577,-9.58,-8.54,0.04618251010592689,-0.007284920478853633,8,7,385,BOTH TAILS
bovespa,Brazil,395,0.03453030303030302,0.052850505050505064,3.45,5.29,-0.0368796696756404,-0.01939749067376999,295,51,49,BOTH TAILS
eurostoxx50,Eurozone,228,-0.03270909090909091,-0.021727272727272734,-3.27,-2.17,-0.0060518060745041735,-0.016005277297353654,37,10,181,FEAR GAUGE
ibex35,Spain,392,-0.08613232323232323,0.0556858585858586,-8.61,5.57,-0.2813478246771915,-0.06205213867792848,14,336,42,BOTH TAILS
smi,Switzerland,424,-0.1203,-0.06101111111111111,-12.03,-6.1,0.31160962123822544,-0.011218263997168094,3,27,394,EUPHORIA GAUGE
sti,Singapore,434,-0.11592020202020202,-0.08743131313131312,-11.59,-8.74,-0.06264720287674351,-0.012356035681142293,5,10,419,BOTH TAILS
twse,Taiwan,344,0.07229696969696969,0.09128181818181816,7.23,9.13,0.009597917547029877,0.13299184438953848,326,13,5,FEAR GAUGE
jse,South Africa,169,-0.08986363636363637,-0.07018686868686869,-8.99,-7.02,-0.21857486729102152,-0.00574012321359612,4,3,162,WEAK
aex,Netherlands,401,-0.09559999999999999,-0.07479999999999999,-9.56,-7.48,-0.023569193979626004,-0.013470089971337093,8,12,381,BOTH TAILS
ipc,Mexico,412,-0.09778181818181818,-0.08741818181818181,-9.78,-8.74,-0.022529050112086803,-0.003828591826970269,6,8,398,BOTH TAILS
jkse,Indonesia,431,-0.030506060606060606,0.07596969696969698,-3.05,7.6,0.02625929879712183,-0.03908871725609827,69,346,16,BOTH TAILS
ta125,Israel,401,-0.1164,-0.08779999999999999,-11.64,-8.78,0.08877707504413229,-0.0005374500811324208,5,8,388,BOTH TAILS
klci,Malaysia,387,-0.1236,-0.004827272727272736,-12.36,-0.48,-0.1276270294282675,-0.029945684331349424,3,124,260,EUPHORIA GAUGE
