,DAX_SPY_A,DAX_SPY_B,NIKKEI225_SPY_A,NIKKEI225_SPY_B,KOSPI_SPY_A,KOSPI_SPY_B,JKSE_SPY_A,JKSE_SPY_B,IBEX35_SPY_A,IBEX35_SPY_B,BOVESPA_SPY_A,BOVESPA_SPY_B
2024-12,RW,EXP,RW,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP
2025-01,RW,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,MR,MR
2025-02,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2025-03,RW,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,MR,MR
2025-04,RW,EXP,RW,RW,MR,RW,MR,EXP,RW,RW,MR,MR
2025-05,RW,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,MR,MR
2025-06,RW,EXP,RW,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP
2025-07,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,RW,RW
2025-08,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2025-09,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2025-10,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,RW,RW
2025-11,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2025-12,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2026-01,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2026-02,RW,EXP,RW,EXP,RW,RW,RW,EXP,RW,RW,MR,MR
2026-03,RW,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,MR,MR
2026-04,RW,EXP,RW,RW,MR,RW,MR,EXP,RW,RW,MR,MR
2026-05,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP
