code,country,n,start,end,corr
NZL,New Zealand,423,1988-06,2023-09,0.286
GRC,Greece,468,1985-01,2024-01,0.3684
TUR,Turkey,240,2004-01,2024-01,0.3758
CZE,px,348,1995-01,2024-01,0.4151
AUS,Australia,528,1980-01,2024-01,0.4353
FIN,Finland,434,1987-11,2024-01,0.4824
IRL,Ireland,516,1980-01,2023-01,0.4852
FRA,France,528,1980-01,2024-01,0.4855
ITA,Italy,528,1980-01,2024-01,0.4939
AUT,Austria,528,1980-01,2024-01,0.5006
MEX,Mexico,272,2001-04,2023-12,0.5068
DEU,Germany,528,1980-01,2024-01,0.5232
DNK,Denmark,528,1980-01,2024-01,0.5243
BEL,Belgium,528,1980-01,2024-01,0.5342
POL,wig20,272,2001-05,2024-01,0.5515
NLD,Netherlands,528,1980-01,2024-01,0.5629
PRT,Portugal,451,1986-06,2024-01,0.5702
CHE,Switzerland,526,1980-01,2023-11,0.5769
CAN,Canada,455,1980-01,2017-12,0.5899
KOR,South Korea,300,1998-12,2023-12,0.6029
GBR,UK,528,1980-01,2024-01,0.617
SWE,Sweden,339,1995-10,2024-01,0.6343
JPN,Japan,501,1982-04,2024-01,0.6661
ESP,Spain,451,1986-06,2024-01,0.7053
USA,USA,528,1980-01,2024-01,0.8078
