code,country,n,start,end,corr_dCCI,se_z,ci90_lo,ci90_hi
NZL,New Zealand,423,1988-06,2023-09,0.286,0.0488,0.2107,0.3579
GRC,Greece,468,1985-01,2024-01,0.3684,0.0464,0.3007,0.4324
TUR,Turkey,240,2004-01,2024-01,0.3758,0.065,0.2806,0.4637
CZE,px,348,1995-01,2024-01,0.4151,0.0538,0.3392,0.4856
AUS,Australia,528,1980-01,2024-01,0.4353,0.0436,0.3753,0.4916
FIN,Finland,434,1987-11,2024-01,0.4824,0.0482,0.4193,0.5408
IRL,Ireland,516,1980-01,2023-01,0.4852,0.0442,0.4277,0.5387
FRA,France,528,1980-01,2024-01,0.4855,0.0436,0.4287,0.5384
ITA,Italy,528,1980-01,2024-01,0.4939,0.0436,0.4377,0.5462
AUT,Austria,528,1980-01,2024-01,0.5006,0.0436,0.4449,0.5524
MEX,Mexico,272,2001-04,2023-12,0.5068,0.061,0.4285,0.5775
DEU,Germany,528,1980-01,2024-01,0.5232,0.0436,0.4691,0.5734
DNK,Denmark,528,1980-01,2024-01,0.5243,0.0436,0.4703,0.5744
BEL,Belgium,528,1980-01,2024-01,0.5342,0.0436,0.4809,0.5835
POL,wig20,272,2001-05,2024-01,0.5515,0.061,0.4779,0.6174
NLD,Netherlands,528,1980-01,2024-01,0.5629,0.0436,0.5119,0.61
PRT,Portugal,451,1986-06,2024-01,0.5702,0.0472,0.5154,0.6203
CHE,Switzerland,526,1980-01,2023-11,0.5769,0.0437,0.5269,0.6229
CAN,Canada,455,1980-01,2017-12,0.5899,0.047,0.5371,0.6381
KOR,South Korea,300,1998-12,2023-12,0.6029,0.058,0.5386,0.6602
GBR,UK,528,1980-01,2024-01,0.617,0.0436,0.5706,0.6595
SWE,Sweden,339,1995-10,2024-01,0.6343,0.0546,0.5776,0.6849
JPN,Japan,501,1982-04,2024-01,0.6661,0.0448,0.6231,0.7051
ESP,Spain,451,1986-06,2024-01,0.7053,0.0472,0.6641,0.7423
USA,USA,528,1980-01,2024-01,0.8078,0.0436,0.7814,0.8313
