market,country,c1_A,c2_A,c1_B,c2_B,agree_full_pct,agree_post2015_pct,n_full,n_post2015
ipc,Mexico,99.267,102.011,97.533,102.011,76.33,56.0,414,125
bovespa,Brazil,100.444,102.43,100.444,102.43,100.0,100.0,397,125
merval,Argentina,97.745,101.253,97.516,101.253,98.87,97.6,355,125
ibex35,Spain,97.128,101.189,97.571,101.189,97.97,96.8,394,125
smi,Switzerland,97.284,101.207,97.57,101.207,99.06,98.4,426,125
aex,Netherlands,97.799,101.383,97.799,101.383,100.0,100.0,403,125
athex,Greece,97.552,101.544,97.552,101.544,100.0,100.0,345,125
ta125,Israel,98.092,101.675,97.58,101.675,97.02,94.4,403,125
ta35,Israel (TA-35),98.092,101.675,97.58,101.675,97.02,94.4,403,125
bist100,Turkey,97.33,102.16,97.56,102.16,98.84,98.4,346,125
nikkei225,Japan,97.881,99.872,97.526,99.872,97.48,95.2,436,125
shanghai,China (SSE),100.167,102.237,97.79,100.627,21.97,25.6,346,125
szse,China (SZSE),99.467,101.767,98.163,100.617,37.39,35.2,345,125
hangseng,Hong Kong,98.45,102.006,98.521,102.006,99.31,98.4,436,125
hscei,Hong Kong (H-shr),98.014,101.263,99.27,101.263,78.68,61.6,394,125
kospi,South Korea,98.733,101.257,97.586,101.257,86.12,72.8,353,125
sti,Singapore,97.881,101.721,97.526,101.721,97.48,95.2,436,125
twse,Taiwan,97.023,101.317,97.79,101.317,95.38,96.0,346,125
jkse,Indonesia,97.8,101.284,97.516,101.284,98.15,97.6,433,125
lq45,Indonesia (LQ45),97.884,101.33,97.578,101.33,97.44,96.8,351,125
klci,Malaysia,97.056,101.499,97.575,101.499,97.43,96.8,389,125
set,Thailand,97.739,101.257,97.586,101.104,94.9,90.4,353,125
psei,Philippines,100.157,102.219,97.526,101.437,51.61,48.8,436,125
