date,cci
1990-01-01,99.16045
1990-02-01,99.20905
1990-03-01,99.28172
1990-04-01,99.37798
1990-05-01,99.46855
1990-06-01,99.50169
1990-07-01,99.44942
1990-08-01,99.34278
1990-09-01,99.25573
1990-10-01,99.27495
1990-11-01,99.45009
1990-12-01,99.7746
1991-01-01,100.1816
1991-02-01,100.5611
1991-03-01,100.7982
1991-04-01,100.8375
1991-05-01,100.6859
1991-06-01,100.407
1991-07-01,100.1022
1991-08-01,99.84743
1991-09-01,99.68994
1991-10-01,99.62975
1991-11-01,99.64026
1991-12-01,99.69419
1992-01-01,99.78736
1992-02-01,99.95308
1992-03-01,100.2374
1992-04-01,100.6703
1992-05-01,101.2204
1992-06-01,101.8073
1992-07-01,102.3321
1992-08-01,102.7409
1992-09-01,103.0126
1992-10-01,103.1608
1992-11-01,103.2354
1992-12-01,103.2774
1993-01-01,103.3121
1993-02-01,103.342
1993-03-01,103.38
1993-04-01,103.4539
1993-05-01,103.6026
1993-06-01,103.8362
1993-07-01,104.09
1993-08-01,104.2648
1993-09-01,104.2463
1993-10-01,103.9698
1993-11-01,103.4387
1993-12-01,102.7274
1994-01-01,101.9655
1994-02-01,101.2619
1994-03-01,100.6808
1994-04-01,100.2265
1994-05-01,99.87772
1994-06-01,99.63126
1994-07-01,99.509
1994-08-01,99.53061
1994-09-01,99.6991
1994-10-01,100.0134
1994-11-01,100.4367
1994-12-01,100.9239
1995-01-01,101.4432
1995-02-01,101.9337
1995-03-01,102.3326
1995-04-01,102.5982
1995-05-01,102.6872
1995-06-01,102.5965
1995-07-01,102.3772
1995-08-01,102.1226
1995-09-01,101.9138
1995-10-01,101.8009
1995-11-01,101.8064
1995-12-01,101.9014
1996-01-01,102.0343
1996-02-01,102.1386
1996-03-01,102.1705
1996-04-01,102.142
1996-05-01,102.0884
1996-06-01,102.0288
1996-07-01,101.9854
1996-08-01,101.9404
1996-09-01,101.9136
1996-10-01,101.8707
1996-11-01,101.716
1996-12-01,101.3006
1997-01-01,100.6123
1997-02-01,100.1213
1997-03-01,99.89658
1997-04-01,99.89079
1997-05-01,100.0286
1997-06-01,100.2124
1997-07-01,100.3556
1997-08-01,100.4036
1997-09-01,100.3623
1997-10-01,100.2835
1997-11-01,100.2384
1997-12-01,100.2593
1998-01-01,100.2483
1998-02-01,99.9215
1998-03-01,99.4021
1998-04-01,98.96538
1998-05-01,98.53228
1998-06-01,98.10606
1998-07-01,97.82927
1998-08-01,97.89687
1998-09-01,98.08073
1998-10-01,98.27757
1998-11-01,98.39348
1998-12-01,98.55753
1999-01-01,98.73224
1999-02-01,98.82314
1999-03-01,98.84605
1999-04-01,98.90453
1999-05-01,99.03028
1999-06-01,99.15874
1999-07-01,99.24284
1999-08-01,99.39803
1999-09-01,99.51047
1999-10-01,99.59482
1999-11-01,99.71597
1999-12-01,99.87052
2000-01-01,99.9682
2000-02-01,100.0535
2000-03-01,100.1397
2000-04-01,100.226
2000-05-01,100.314
2000-06-01,100.3896
2000-07-01,100.4724
2000-08-01,100.5735
2000-09-01,100.6818
2000-10-01,100.7651
2000-11-01,100.8329
2000-12-01,100.8874
2001-01-01,100.9241
2001-02-01,100.9453
2001-03-01,100.9924
2001-04-01,101.0557
2001-05-01,101.0962
2001-06-01,101.1531
2001-07-01,101.2004
2001-08-01,101.159
2001-09-01,101.0883
2001-10-01,101.0228
2001-11-01,100.974
2001-12-01,100.9622
2002-01-01,100.9622
2002-02-01,100.9838
2002-03-01,101.0031
2002-04-01,101.0096
2002-05-01,101.0209
2002-06-01,101.0423
2002-07-01,101.0551
2002-08-01,101.064
2002-09-01,101.0839
2002-10-01,101.1312
2002-11-01,101.2038
2002-12-01,101.2682
2003-01-01,101.2553
2003-02-01,100.9617
2003-03-01,100.1308
2003-04-01,98.78081
2003-05-01,97.96742
2003-06-01,98.08974
2003-07-01,98.67777
2003-08-01,99.26198
2003-09-01,99.67434
2003-10-01,99.97717
2003-11-01,100.1876
2003-12-01,100.3508
2004-01-01,100.4324
2004-02-01,100.4287
2004-03-01,100.3194
2004-04-01,100.0027
2004-05-01,99.47343
2004-06-01,99.00234
