date,global_cci,cci_AUS,cci_AUT,cci_BEL,cci_CAN,cci_CHE,cci_CZE,cci_DEU,cci_DNK,cci_ESP,cci_FIN,cci_FRA,cci_GBR,cci_GRC,cci_IRL,cci_ITA,cci_JPN,cci_KOR,cci_MEX,cci_NLD,cci_NZL,cci_POL,cci_PRT,cci_SWE,cci_TUR,cci_USA
1975-01-31,,99.96062,,99.14669,,98.08396,,99.71506,96.62189,,,101.3003,96.91897,,94.97253,94.31562,,,,99.79343,,,,,,96.89253
1975-02-28,,100.6289,,99.25037,,97.9999,,99.99641,96.79384,,,101.5331,96.20615,,95.15717,94.68395,,,,99.76393,,,,,,97.29836
1975-03-31,,101.0798,,99.30368,,98.05235,,100.299,97.33311,,,101.5043,95.49467,,95.42643,95.12886,,,,99.71193,,,,,,97.82019
1975-04-30,,101.0941,,99.26061,,98.16753,,100.6015,98.18968,,,101.3751,94.96516,,95.82855,95.57777,,,,99.6404,,,,,,98.2859
1975-05-31,,100.8346,,99.17912,,98.25916,,100.8116,98.85545,,,101.3212,94.76198,,96.20532,95.88956,,,,99.56706,,,,,,98.56734
1975-06-30,,100.4997,,99.06936,,98.27284,,100.8473,99.37466,,,101.3978,95.01893,,96.6171,95.9486,,,,99.45135,,,,,,98.71187
1975-07-31,,100.2502,,98.97519,,98.25414,,100.8119,99.88564,,,101.5942,95.5587,,97.1315,95.89598,,,,99.26771,,,,,,98.77493
1975-08-31,,100.1008,,98.88901,,98.27121,,100.7652,100.3089,,,101.7564,96.13969,,97.577,95.799,,,,99.12133,,,,,,98.7894
1975-09-30,,100.0596,,98.84596,,98.36987,,100.7596,100.6662,,,101.9193,96.6718,,98.02117,95.70377,,,,98.99792,,,,,,98.81657
1975-10-31,,100.1656,,99.0101,,98.49297,,100.8866,101.0717,,,102.1445,97.1392,,98.49061,95.73219,,,,98.91011,,,,,,98.9277
1975-11-30,,100.42,,99.52257,,98.56164,,101.2822,101.3752,,,102.3568,97.57198,,98.69218,95.90569,,,,99.02084,,,,,,99.17293
1975-12-31,,100.7909,,100.3374,,98.53204,,101.8083,101.586,,,102.648,98.08244,,98.53617,96.11681,,,,99.44198,,,,,,99.46616
1976-01-31,,101.0691,,100.9041,,98.5067,,102.2328,101.7774,,,103.0636,98.68426,,98.10018,96.22719,,,,100.1235,,,,,,99.69358
1976-02-29,,101.0519,,101.1064,,98.65282,,102.4724,101.875,,,103.3123,99.28565,,97.78512,96.12798,,,,100.5772,,,,,,99.77404
1976-03-31,,100.9294,,101.0859,,99.11649,,102.5523,101.6737,,,103.4062,99.84326,,97.59315,95.90091,,,,100.6408,,,,,,99.78529
1976-04-30,,100.8581,,101.0391,,99.76531,,102.5587,101.1544,,,103.4123,100.2645,,97.44276,95.64606,,,,100.4589,,,,,,99.83242
1976-05-31,,100.7519,,101.0437,,100.4419,,102.5591,100.6855,,,103.3584,100.3535,,97.36076,95.4374,,,,100.2738,,,,,,99.98558
1976-06-30,,100.6849,,101.1049,,101.0323,,102.5957,100.2976,,,103.2271,99.894,,97.30177,95.30611,,,,100.1743,,,,,,100.1817
1976-07-31,,100.6658,,101.1511,,101.5065,,102.6851,99.94469,,,103.0095,99.06375,,97.23024,95.17774,,,,100.1361,,,,,,100.323
1976-08-31,,100.7046,,101.1672,,101.8038,,102.7814,99.68496,,,102.8368,98.13846,,97.17943,95.00356,,,,100.1209,,,,,,100.3318
1976-09-30,,100.7212,,101.1487,,101.8347,,102.8795,99.41106,,,102.6697,97.31464,,97.15751,94.88887,,,,100.115,,,,,,100.2616
1976-10-31,,100.6169,,101.0855,,101.6593,,102.9183,99.10999,,,102.4708,96.87927,,97.19838,94.99567,,,,100.1442,,,,,,100.1814
1976-11-30,,100.369,,100.9807,,101.2999,,102.8752,98.9295,,,102.3724,97.0261,,97.38358,95.38589,,,,100.2798,,,,,,100.1403
1976-12-31,,100.2457,,100.9131,,100.7597,,102.7269,98.85682,,,102.3467,97.53544,,97.80145,95.91456,,,,100.6095,,,,,,100.141
1977-01-31,,100.1679,100.2671,100.9481,,100.2254,,102.4926,98.89919,,,102.3046,98.13107,,98.36187,96.38263,,,,101.1017,,,,,,100.1856
1977-02-28,,100.0535,100.8086,101.0093,,99.95599,,102.1902,98.94907,,,102.1211,98.47466,,98.7093,96.55127,,,,101.4203,,,,,,100.2784
1977-03-31,,100.0067,101.186,101.0395,,100.1656,,101.8786,98.9492,,,101.678,98.57755,,98.82037,96.48833,,,,101.4452,,,,,,100.3852
1977-04-30,,100.0997,101.2072,100.9385,,100.6411,,101.5755,98.84277,,,101.0463,98.7091,,98.8219,96.39966,,,,101.2423,,,,,,100.4625
1977-05-31,,100.1977,100.9513,100.7285,,101.1287,,101.3773,98.78063,,,100.6666,99.04188,,98.87978,96.42062,,,,101.0393,,,,,,100.4725
1977-06-30,,100.1986,100.409,100.46,,101.4549,,101.3776,98.81299,,,100.6595,99.77203,,99.19753,96.7047,,,,100.8498,,,,,,100.4276
1977-07-31,,100.1564,99.73875,100.2268,,101.6348,,101.4814,98.9514,,,100.9422,100.7864,,99.79285,97.13107,,,,100.6763,,,,,,100.333
1977-08-31,,100.2804,99.13177,100.0447,,101.6956,,101.5965,99.1365,,,101.2349,101.9401,,100.3455,97.56346,,,,100.5549,,,,,,100.1848
1977-09-30,,100.4235,98.80492,99.89006,,101.6468,,101.7223,99.30698,,,101.5705,103.0492,,100.9251,97.96691,,,,100.4399,,,,,,100.0172
1977-10-31,,100.6227,98.93058,99.88163,,101.5683,,101.8346,99.42202,,,102.0021,103.9967,,101.6045,98.24676,,,,100.3251,,,,,,99.87012
1977-11-30,,100.9562,99.2863,100.0456,,101.5452,,101.9516,99.49815,,,102.2667,104.6311,,102.2105,98.38827,,,,100.3588,,,,,,99.77582
1977-12-31,,101.3444,99.4677,100.324,,101.6305,,102.022,99.49426,,,102.4105,105.0775,,102.8025,98.44827,,,,100.6693,,,,,,99.72543
1978-01-31,,101.6591,99.54863,100.4107,,101.7539,,102.0,99.44292,,,102.524,105.3559,,103.3977,98.41366,,,,101.1867,,,,,,99.69241
1978-02-28,,101.7791,99.73035,100.2525,,101.8154,,101.9668,99.45427,,,102.5981,105.4379,,103.7098,98.41285,,,,101.477,,,,,,99.61221
1978-03-31,,101.6075,99.92209,99.96251,,101.741,,101.9606,99.55989,,,102.6747,105.4725,,103.7118,98.47894,,,,101.3813,,,,,,99.47431
1978-04-30,,101.2841,100.0672,99.78356,,101.6007,,102.0102,99.70148,,,102.7724,105.4521,,103.489,98.55051,,,,101.0154,,,,,,99.47305
1978-05-31,,100.9141,100.2901,99.79336,,101.4851,,102.1404,99.83266,,,102.8104,105.4295,,103.2379,98.677,,,,100.7202,,,,,,99.49724
1978-06-30,,100.4478,100.4124,99.88863,,101.4483,,102.3232,99.98481,,,102.7742,105.2867,,102.9916,98.9472,,,,100.5603,,,,,,99.46143
1978-07-31,,99.94025,100.5765,99.9702,,101.4261,,102.5392,100.136,,,102.6781,105.0094,,102.7063,99.36267,,,,100.4745,,,,,,99.43506
1978-08-31,,99.57409,100.7849,100.0426,,101.3186,,102.7875,100.266,,,102.6013,104.5778,,102.5073,99.83916,,,,100.4356,,,,,,99.33629
1978-09-30,,99.72403,100.9053,100.1326,,101.0574,,103.0611,100.4131,,,102.5195,103.9921,,102.3124,100.334,,,,100.3917,,,,,,99.24139
1978-10-31,,100.1042,100.8006,100.2165,,100.7592,,103.2913,100.5435,,,102.3824,103.2003,,102.0313,100.6414,,,,100.3048,,,,,,99.01192
1978-11-30,,100.3937,100.5476,100.3254,,100.5984,,103.458,100.6117,,,102.1951,102.1804,,101.7602,100.7115,,,,100.1953,,,,,,98.62542
1978-12-31,,100.6323,100.5412,100.461,,100.7182,,103.5519,100.638,,,101.8911,101.2281,,101.4014,100.6152,,,,100.0837,,,,,,98.27516
1979-01-31,,100.8197,100.7317,100.487,,101.0029,,103.5997,100.6402,,,101.5201,100.7176,,100.9339,100.4738,,,,99.95596,,,,,,98.24982
1979-02-28,,100.8992,100.97,100.3828,,101.3077,,103.5703,100.6067,,,101.2872,101.0462,,100.6073,100.2837,,,,99.87458,,,,,,98.23451
1979-03-31,,100.791,101.1555,100.218,,101.5232,,103.5195,100.4952,,,101.1327,101.8857,,100.4168,100.0577,,,,99.8176,,,,,,98.0434
1979-04-30,,100.5352,100.998,100.0615,,101.6199,,103.4265,100.2654,,,100.9644,102.8613,,100.2636,99.74377,,,,99.75972,,,,,,97.84727
1979-05-31,,99.95616,100.6786,99.95128,,101.5482,,103.2455,99.99101,,,100.8121,103.4673,,100.1463,99.45107,,,,99.72938,,,,,,97.71627
1979-06-30,,99.36197,100.3301,99.85628,,101.2569,,102.9979,99.67448,,,100.7323,103.3514,,99.98272,99.2208,,,,99.72199,,,,,,97.53304
1979-07-31,,99.12593,100.3561,99.78644,,100.8803,,102.7621,99.31393,,,100.696,102.7159,,99.72715,99.04745,,,,99.73029,,,,,,97.37135
1979-08-31,,99.28366,100.5948,99.6929,,100.5826,,102.5359,99.01227,,,100.6688,101.9296,,99.53421,98.83749,,,,99.75169,,,,,,97.40817
1979-09-30,,99.54757,100.8007,99.53783,,100.487,,102.2808,98.71543,,,100.6471,101.1565,,99.35253,98.58282,,,,99.78006,,,,,,97.44877
1979-10-31,,99.70306,100.7442,99.38793,,100.5258,,101.9559,98.30657,,,100.6854,100.3858,,99.11775,98.29916,,,,99.78426,,,,,,97.37322
1979-11-30,,99.78789,100.345,99.17975,,100.6197,,101.5808,97.90288,,,100.6538,99.70155,,98.93417,98.00919,,,,99.67976,,,,,,97.35517
