code,country,n,corr_dCCI,ci90_lo,ci90_hi,below_040
NZL,New Zealand,423,0.286,0.2107,0.3579,True
GRC,Greece,468,0.3684,0.3007,0.4324,True
TUR,Turkey,240,0.3758,0.2806,0.4637,True
CZE,px,348,0.4151,0.3392,0.4856,False
AUS,Australia,528,0.4353,0.3753,0.4916,False
FIN,Finland,434,0.4824,0.4193,0.5408,False
IRL,Ireland,516,0.4852,0.4277,0.5387,False
FRA,France,528,0.4855,0.4287,0.5384,False
ITA,Italy,528,0.4939,0.4377,0.5462,False
AUT,Austria,528,0.5006,0.4449,0.5524,False
MEX,Mexico,272,0.5068,0.4285,0.5775,False
DEU,Germany,528,0.5232,0.4691,0.5734,False
DNK,Denmark,528,0.5243,0.4703,0.5744,False
BEL,Belgium,528,0.5342,0.4809,0.5835,False
POL,wig20,272,0.5515,0.4779,0.6174,False
NLD,Netherlands,528,0.5629,0.5119,0.61,False
PRT,Portugal,451,0.5702,0.5154,0.6203,False
CHE,Switzerland,526,0.5769,0.5269,0.6229,False
CAN,Canada,455,0.5899,0.5371,0.6381,False
KOR,South Korea,300,0.6029,0.5386,0.6602,False
GBR,UK,528,0.617,0.5706,0.6595,False
SWE,Sweden,339,0.6343,0.5776,0.6849,False
JPN,Japan,501,0.6661,0.6231,0.7051,False
ESP,Spain,451,0.7053,0.6641,0.7423,False
USA,USA,528,0.8078,0.7814,0.8313,False
