market,exp_drift,exp_sd,exp_drift_sd,mr_drift_sd,rw_drift_sd
bist100,4.5844,0.0958,47.861,-4.249,0.159
klci,1.809,0.1017,17.785,336.484,0.021
sti,2.3892,0.0745,32.084,0.14,0.067
athex,2.2669,0.0875,25.905,12.736,0.003
ta125,1.1938,0.0684,17.447,-1.55,0.175
ta35,1.1532,0.065,17.754,-1.965,0.17
hangseng,8.3822,0.0553,151.512,15.022,0.114
twse,1.3409,0.0914,14.676,120.452,0.127
smi,1.5905,0.059,26.955,-15.252,0.159
ibex35,1.3774,0.0724,19.03,159.021,0.083
jkse,1.6007,0.1178,13.586,0.113,0.143
aex,0.7184,0.0516,13.925,-2.515,0.124
merval,1.1257,0.1193,9.44,-1.874,0.241
set,1.0913,0.1364,7.999,-2.43,0.099
hscei,1.0026,0.175,5.729,19.221,0.094
lq45,1.5803,0.1365,11.574,0.325,0.138
ipc,7.2904,0.0701,103.929,3.873,0.155
kospi,0.5653,0.1404,4.026,-4.762,0.125
szse,3.9795,0.0929,42.855,11.079,0.071
psei,2.3644,0.065,36.355,2.448,0.009
shanghai,2.7328,0.0165,165.904,7.347,0.103
bovespa,,,,7.088,0.182
nikkei225,0.3394,0.0564,6.023,-5.88,0.149
