market,country,start,end,length_months,ep_mean_12m_pct,own_RW_mean_12m_pct,excess_pp
ipc,Mexico,1999-11,2000-09,11,-9.615,11.329,-20.945
merval,Argentina,1997-06,2001-01,44,-20.422,31.29,-51.712
ibex35,Spain,1997-05,2001-02,46,3.188,4.786,-1.598
ibex35,Spain,2018-07,2018-07,1,-9.557,4.786,-14.343
smi,Switzerland,1997-05,2001-02,46,2.297,6.393,-4.096
aex,Netherlands,1997-06,1997-11,6,19.344,5.945,13.399
aex,Netherlands,1998-01,1998-07,7,7.213,5.945,1.268
aex,Netherlands,1998-11,2001-01,27,-1.401,5.945,-7.345
athex,Greece,1998-03,1998-04,2,42.139,0.581,41.558
athex,Greece,1999-01,2000-12,24,-21.678,0.581,-22.26
ta125,Israel,1999-02,2000-11,22,1.605,8.953,-7.348
ta35,Israel (TA-35),1999-02,2000-11,22,3.224,8.905,-5.681
bist100,Turkey,1999-12,2000-07,8,-45.441,20.984,-66.425
shanghai,China (SSE),2000-01,2000-04,4,18.34,4.908,13.432
szse,China (SZSE),1999-06,2000-11,18,2.211,6.513,-4.302
hangseng,Hong Kong,1999-11,2000-09,11,-20.966,6.751,-27.716
hscei,Hong Kong (H-shr),1997-06,2001-01,44,-16.931,3.117,-20.048
kospi,South Korea,1997-06,2001-01,44,3.325,5.547,-2.221
sti,Singapore,1999-02,2000-11,22,-9.858,3.616,-13.474
twse,Taiwan,1997-08,1998-08,13,-14.255,7.266,-21.521
twse,Taiwan,1998-11,2001-01,27,-17.411,7.266,-24.677
jkse,Indonesia,1997-06,1998-08,15,-11.049,9.04,-20.089
jkse,Indonesia,1998-10,2001-01,28,-5.886,9.04,-14.926
lq45,Indonesia (LQ45),1997-06,1998-08,15,-7.415,8.511,-15.926
lq45,Indonesia (LQ45),1998-11,2001-01,27,-12.905,8.511,-21.416
klci,Malaysia,1997-07,1997-09,3,-89.293,2.64,-91.933
klci,Malaysia,1998-02,1998-05,4,-6.968,2.64,-9.608
klci,Malaysia,1998-12,2000-12,25,-2.109,2.64,-4.749
set,Thailand,1997-06,2001-01,44,-11.384,4.779,-16.163
psei,Philippines,2000-01,2000-05,5,-10.684,-0.272,-10.411
