market,n_EXP,last_EXP_month,sample_end,gap_months,contributes
ipc,11,2000-09,2026-05,308.0,True
bovespa,0,,2026-05,,False
merval,44,2001-01,2026-05,304.0,True
ibex35,47,2018-07,2026-05,94.0,True
smi,46,2001-02,2026-05,303.0,True
aex,40,2001-01,2026-05,304.0,True
athex,26,2000-12,2026-05,305.0,True
ta125,22,2000-11,2026-05,306.0,True
ta35,22,2000-11,2026-05,306.0,True
bist100,8,2000-07,2026-05,310.0,True
nikkei225,264,2021-09,2026-05,56.0,False
shanghai,4,2000-04,2026-05,313.0,True
szse,18,2000-11,2026-05,306.0,True
hangseng,11,2000-09,2026-05,308.0,True
hscei,44,2001-01,2026-05,304.0,True
kospi,44,2001-01,2026-05,304.0,True
sti,22,2000-11,2026-05,306.0,True
twse,40,2001-01,2026-05,304.0,True
jkse,43,2001-01,2026-05,304.0,True
lq45,42,2001-01,2026-05,304.0,True
klci,32,2000-12,2026-05,305.0,True
set,44,2001-01,2026-05,304.0,True
psei,5,2000-05,2026-05,312.0,True
