market,coef,t,p,p_bh,sig_raw,sig_bh
bist100,b_MR,2.62,0.00878,0.01982,True,True
bist100,b_EXP,-5.629,0.0,0.0,True,True
klci,b_MR,-3.764,0.00017,0.00128,True,True
klci,b_EXP,-2.89,0.00385,0.01333,True,True
sti,b_MR,-0.084,0.93295,0.93295,False,False
sti,b_EXP,-2.696,0.00703,0.01861,True,True
athex,b_MR,-2.827,0.0047,0.01511,True,True
athex,b_EXP,-4.829,0.0,0.0,True,True
ta125,b_MR,0.531,0.59515,0.63766,False,False
ta125,b_EXP,-2.425,0.01529,0.02752,True,True
ta35,b_MR,0.638,0.52345,0.57452,False,False
ta35,b_EXP,-2.349,0.01884,0.03178,True,True
hangseng,b_MR,-1.99,0.04657,0.0635,True,False
hangseng,b_EXP,-3.874,0.00011,0.00124,True,True
twse,b_MR,-2.344,0.01907,0.03178,True,True
twse,b_EXP,-1.744,0.08109,0.10732,False,False
smi,b_MR,1.676,0.09367,0.11709,False,False
smi,b_EXP,-2.728,0.00638,0.01794,True,True
ibex35,b_MR,-3.02,0.00253,0.01138,True,True
ibex35,b_EXP,-2.59,0.00961,0.02025,True,True
jkse,b_MR,-0.138,0.89027,0.9105,False,False
jkse,b_EXP,-3.049,0.0023,0.01138,True,True
aex,b_MR,0.774,0.43921,0.49411,False,False
aex,b_EXP,-2.435,0.01487,0.02752,True,True
merval,b_MR,2.188,0.02867,0.043,True,True
merval,b_EXP,-2.249,0.0245,0.03805,True,True
set,b_MR,0.782,0.43405,0.49411,False,False
set,b_EXP,-2.249,0.02452,0.03805,True,True
hscei,b_MR,-2.564,0.01035,0.02025,True,True
hscei,b_EXP,-2.022,0.04322,0.06274,True,False
lq45,b_MR,-0.235,0.81455,0.85244,False,False
lq45,b_EXP,-3.251,0.00115,0.00647,True,True
ipc,b_MR,-2.748,0.006,0.01794,True,True
ipc,b_EXP,-3.334,0.00086,0.00553,True,True
kospi,b_MR,2.0,0.04546,0.0635,True,False
kospi,b_EXP,-1.437,0.15067,0.18325,False,False
szse,b_MR,-2.564,0.01035,0.02025,True,True
szse,b_EXP,-2.628,0.00859,0.01982,True,True
psei,b_MR,-2.619,0.00881,0.01982,True,True
psei,b_EXP,-1.126,0.2601,0.30801,False,False
shanghai,b_MR,-2.94,0.00328,0.01316,True,True
shanghai,b_EXP,-3.801,0.00014,0.00126,True,True
bovespa,b_MR,-13.787,0.0,0.0,True,True
nikkei225,b_MR,1.692,0.09071,0.11663,False,False
nikkei225,b_EXP,-2.919,0.00351,0.01316,True,True
