market,country,T,F,p,gate,n_lags,direction,p_bh,fail_raw,fail_bh
sp500,USA,437.0,5.604,0.0002,FAIL,4,return->d(globalCCI),0.0028,True,True
nasdaq,USA (NASDAQ),437.0,3.7745,0.005,FAIL,4,return->d(globalCCI),0.0175,True,True
djia,USA (DJIA),413.0,4.8038,0.0009,FAIL,4,return->d(globalCCI),0.0063,True,True
rut,USA (Small-Cap),437.0,3.978,0.0035,FAIL,4,return->d(globalCCI),0.0151,True,True
rui,USA (Large-Cap),402.0,5.323,0.0003,FAIL,4,return->d(globalCCI),0.0034,True,True
sp400,USA (Mid-Cap),437.0,4.091,0.0029,FAIL,4,return->d(globalCCI),0.0151,True,True
wilshire5000,USA (Total Mkt),437.0,5.7922,0.0002,FAIL,4,return->d(globalCCI),0.0028,True,True
tsx,Canada,437.0,4.2592,0.0022,FAIL,4,return->d(globalCCI),0.0137,True,True
ipc,Mexico,415.0,1.8153,0.125,PASS,4,return->d(globalCCI),0.25,False,False
bovespa,Brazil,398.0,1.2843,0.2755,PASS,4,return->d(globalCCI),0.417,False,False
ipsa,Chile,210.0,0.9745,0.4226,PASS,4,return->d(globalCCI),0.5772,False,False
merval,Argentina,356.0,0.4832,0.7481,PASS,4,return->d(globalCCI),0.8728,False,False
eurostoxx50,Eurozone,231.0,4.0686,0.0034,FAIL,4,return->d(globalCCI),0.0151,True,True
ftse100,UK,437.0,2.4912,0.0426,FAIL,4,return->d(globalCCI),0.1037,True,False
ftmc,UK (Mid-Cap),437.0,4.8186,0.0008,FAIL,4,return->d(globalCCI),0.0063,True,True
dax,Germany,437.0,3.5835,0.0069,FAIL,4,return->d(globalCCI),0.0215,True,True
mdax,Germany (MDAX),364.0,3.821,0.0047,FAIL,4,return->d(globalCCI),0.0175,True,True
cac40,France,435.0,4.0337,0.0032,FAIL,4,return->d(globalCCI),0.0151,True,True
ibex35,Spain,395.0,2.2817,0.06,PASS,4,return->d(globalCCI),0.1344,False,False
smi,Switzerland,427.0,1.4617,0.213,PASS,4,return->d(globalCCI),0.3595,False,False
aex,Netherlands,404.0,1.4064,0.2311,PASS,4,return->d(globalCCI),0.3595,False,False
ftsemib,Italy,342.0,3.4676,0.0086,FAIL,4,return->d(globalCCI),0.0253,True,True
iseq,Ireland,347.0,2.9906,0.019,FAIL,4,return->d(globalCCI),0.0532,True,False
athex,Greece,346.0,1.7361,0.1416,PASS,4,return->d(globalCCI),0.2643,False,False
bel20,Belgium,422.0,4.8132,0.0008,FAIL,4,return->d(globalCCI),0.0063,True,True
atx,Austria,403.0,3.8697,0.0043,FAIL,4,return->d(globalCCI),0.0172,True,True
psi20,Portugal,158.0,2.1922,0.0728,PASS,4,return->d(globalCCI),0.1527,False,False
omxstockholm,Sweden,211.0,2.4714,0.0459,FAIL,4,return->d(globalCCI),0.1071,True,False
omxhelsinki,Finland,159.0,3.7267,0.0064,FAIL,4,return->d(globalCCI),0.0211,True,True
omxcopenhagen,Denmark,114.0,1.7031,0.1552,PASS,4,return->d(globalCCI),0.2804,False,False
oseax,Norway,159.0,2.6193,0.0374,FAIL,4,return->d(globalCCI),0.0952,True,False
bux,Hungary,291.0,1.474,0.2102,PASS,4,return->d(globalCCI),0.3595,False,False
ta125,Israel,404.0,1.2133,0.3046,PASS,4,return->d(globalCCI),0.4374,False,False
ta35,Israel (TA-35),404.0,1.4333,0.2222,PASS,4,return->d(globalCCI),0.3595,False,False
bist100,Turkey,347.0,0.8237,0.5108,PASS,4,return->d(globalCCI),0.6652,False,False
nikkei225,Japan,437.0,1.0764,0.3677,PASS,4,return->d(globalCCI),0.5148,False,False
topix,Japan (TOPIX),221.0,0.2775,0.8923,PASS,4,return->d(globalCCI),0.9724,False,False
shanghai,China (SSE),347.0,0.1552,0.9606,PASS,4,return->d(globalCCI),0.9781,False,False
csi300,China (CSI 300),63.0,0.206,0.9339,PASS,4,return->d(globalCCI),0.9724,False,False
szse,China (SZSE),346.0,0.0147,0.9996,PASS,4,return->d(globalCCI),0.9996,False,False
hangseng,Hong Kong,437.0,1.2554,0.2869,PASS,4,return->d(globalCCI),0.4228,False,False
hscei,Hong Kong (H-shr),395.0,1.4073,0.2308,PASS,4,return->d(globalCCI),0.3595,False,False
kospi,South Korea,354.0,0.201,0.9377,PASS,4,return->d(globalCCI),0.9724,False,False
kosdaq,South Korea (KQ),308.0,0.2024,0.9369,PASS,4,return->d(globalCCI),0.9724,False,False
nifty50,India,225.0,2.642,0.0348,FAIL,4,return->d(globalCCI),0.0928,True,False
kse100,Pakistan,291.0,1.766,0.1359,PASS,4,return->d(globalCCI),0.2624,False,False
sti,Singapore,437.0,0.9428,0.439,PASS,4,return->d(globalCCI),0.5853,False,False
twse,Taiwan,347.0,0.5873,0.672,PASS,4,return->d(globalCCI),0.8181,False,False
jkse,Indonesia,434.0,0.4958,0.7388,PASS,4,return->d(globalCCI),0.8728,False,False
lq45,Indonesia (LQ45),352.0,0.5957,0.666,PASS,4,return->d(globalCCI),0.8181,False,False
klci,Malaysia,390.0,0.3344,0.8547,PASS,4,return->d(globalCCI),0.9573,False,False
set,Thailand,354.0,0.3877,0.8175,PASS,4,return->d(globalCCI),0.9343,False,False
psei,Philippines,437.0,0.7203,0.5784,PASS,4,return->d(globalCCI),0.7361,False,False
asx200,Australia,403.0,6.3204,0.0001,FAIL,4,return->d(globalCCI),0.0028,True,True
aord,Australia (All),437.0,6.7526,0.0,FAIL,4,return->d(globalCCI),0.0,True,True
nzx50,New Zealand,281.0,2.1621,0.0736,PASS,4,return->d(globalCCI),0.1527,False,False
