rule,market,c1,c2,MR_pct,RW_pct,EXP_pct
pct5,bist100,97.867,101.7,7.2,86.4,6.4
pct5,klci,97.797,101.499,5.7,86.1,8.2
pct5,sti,97.881,101.721,5.7,89.2,5.0
pct5,athex,97.859,101.544,7.2,85.2,7.5
pct5,ta125,98.092,101.675,6.9,87.6,5.5
pct5,ta35,98.092,101.675,6.9,87.6,5.5
pct5,hangseng,98.45,101.721,10.1,84.9,5.0
pct5,twse,97.867,101.317,7.2,81.2,11.6
pct5,smi,98.497,101.207,10.8,78.4,10.8
pct5,ibex35,97.793,101.189,5.6,82.5,11.9
pct5,jkse,97.8,101.284,5.1,85.0,9.9
pct5,aex,97.799,101.383,5.5,84.6,9.9
pct5,merval,97.745,101.253,5.1,82.5,12.4
pct5,set,97.739,101.257,5.1,82.4,12.5
pct5,hscei,98.014,101.263,6.6,82.2,11.2
pct5,lq45,97.884,101.33,7.1,80.9,12.0
pct5,ipc,99.267,101.722,27.1,67.6,5.3
pct5,kospi,98.733,101.257,18.4,69.1,12.5
pct5,szse,99.467,101.767,37.4,57.4,5.2
pct5,psei,98.023,101.437,6.2,86.0,7.8
pct5,shanghai,99.707,101.777,40.8,54.0,5.2
pct5,bovespa,99.709,101.695,37.5,56.9,5.5
pct5,nikkei225,97.881,99.872,5.7,33.7,60.6
pct10,bist100,99.247,101.393,30.6,58.4,11.0
pct10,klci,98.463,101.351,11.6,77.9,10.5
pct10,sti,98.45,101.223,10.1,78.7,11.2
pct10,athex,98.934,101.39,22.3,66.7,11.0
pct10,ta125,98.458,101.31,11.2,78.4,10.4
pct10,ta35,98.458,101.31,11.2,78.4,10.4
pct10,hangseng,98.45,101.152,10.1,77.3,12.6
pct10,twse,98.633,101.317,17.6,70.8,11.6
pct10,smi,98.497,101.207,10.8,78.4,10.8
pct10,ibex35,98.457,101.189,11.4,76.6,11.9
pct10,jkse,98.511,101.213,10.6,78.8,10.6
pct10,aex,98.531,101.09,11.9,72.7,15.4
pct10,merval,99.194,101.253,29.3,58.3,12.4
pct10,set,98.504,101.257,13.0,74.5,12.5
pct10,hscei,99.27,101.263,27.9,60.9,11.2
pct10,lq45,98.497,101.33,13.1,74.9,12.0
pct10,ipc,99.267,101.217,27.1,61.8,11.1
pct10,kospi,98.733,101.257,18.4,69.1,12.5
pct10,szse,99.237,101.383,30.7,58.6,10.7
pct10,psei,98.592,101.223,13.1,75.7,11.2
pct10,shanghai,98.403,100.627,12.4,48.8,38.7
pct10,bovespa,99.341,101.327,30.5,58.9,10.6
pct10,nikkei225,98.663,101.223,14.2,74.5,11.2
pct15,bist100,98.94,101.087,22.3,60.7,17.1
pct15,klci,98.611,101.055,15.2,67.4,17.5
pct15,sti,98.806,101.081,15.4,69.0,15.6
pct15,athex,98.934,101.083,22.3,60.6,17.1
pct15,ta125,98.677,100.725,15.6,48.4,36.0
pct15,ta35,98.677,100.725,15.6,48.4,36.0
pct15,hangseng,98.806,101.01,15.4,66.5,18.1
pct15,twse,98.633,100.933,17.6,59.2,23.1
pct15,smi,98.711,101.064,15.3,69.0,15.7
pct15,ibex35,98.974,101.116,20.8,64.0,15.2
pct15,jkse,98.724,101.071,15.0,69.7,15.2
pct15,aex,98.75,101.09,16.1,68.5,15.4
pct15,merval,98.584,100.872,16.1,56.9,27.0
pct15,set,98.58,101.104,16.1,66.9,17.0
pct15,hscei,99.122,101.116,25.6,59.1,15.2
pct15,lq45,98.803,101.1,19.1,63.8,17.1
pct15,ipc,98.689,100.856,15.5,58.5,26.1
pct15,kospi,98.733,101.104,18.4,64.6,17.0
pct15,szse,98.623,100.617,17.1,44.1,38.8
pct15,psei,98.806,101.01,15.4,66.5,18.1
pct15,shanghai,98.557,100.627,15.0,46.2,38.7
pct15,bovespa,99.121,101.106,25.4,59.4,15.1
pct15,nikkei225,98.877,100.939,16.5,61.5,22.0
abs20,bist100,97.867,101.7,7.2,86.4,6.4
abs20,klci,97.797,101.499,5.7,86.1,8.2
abs20,sti,97.881,101.721,5.7,89.2,5.0
abs20,athex,97.859,101.544,7.2,85.2,7.5
abs20,ta125,98.092,101.675,6.9,87.6,5.5
abs20,ta35,98.092,101.675,6.9,87.6,5.5
abs20,hangseng,98.45,101.721,10.1,84.9,5.0
abs20,twse,97.867,101.317,7.2,81.2,11.6
abs20,smi,97.784,101.207,4.7,84.5,10.8
abs20,ibex35,97.793,101.189,5.6,82.5,11.9
abs20,jkse,97.8,101.284,5.1,85.0,9.9
abs20,aex,97.799,101.383,5.5,84.6,9.9
abs20,merval,97.822,101.253,6.5,81.1,12.4
abs20,set,97.816,101.257,6.5,81.0,12.5
abs20,hscei,98.014,101.263,6.6,82.2,11.2
abs20,lq45,97.884,101.33,7.1,80.9,12.0
abs20,ipc,99.267,101.722,27.1,67.6,5.3
abs20,kospi,98.733,101.257,18.4,69.1,12.5
abs20,szse,99.467,101.69,37.4,56.2,6.4
abs20,psei,98.023,101.437,6.2,86.0,7.8
abs20,shanghai,99.707,101.7,40.8,52.9,6.4
abs20,bovespa,99.709,101.695,37.5,56.9,5.5
abs20,nikkei225,97.881,99.872,5.7,33.7,60.6
abs30,bist100,99.247,101.393,30.6,58.4,11.0
abs30,klci,98.463,101.499,11.6,80.2,8.2
abs30,sti,98.45,101.508,10.1,83.0,6.9
abs30,athex,98.243,101.467,9.9,81.2,9.0
abs30,ta125,98.458,101.456,11.2,80.6,8.2
abs30,ta35,98.677,101.456,15.6,76.2,8.2
abs30,hangseng,98.45,101.508,10.1,83.0,6.9
abs30,twse,98.633,101.317,17.6,70.8,11.6
abs30,smi,98.497,101.207,10.8,78.4,10.8
abs30,ibex35,98.236,101.189,8.6,79.4,11.9
abs30,jkse,98.227,101.284,7.6,82.4,9.9
abs30,aex,98.531,101.383,11.9,78.2,9.9
abs30,merval,99.194,101.253,29.3,58.3,12.4
abs30,set,98.504,101.257,13.0,74.5,12.5
abs30,hscei,99.27,101.263,27.9,60.9,11.2
abs30,lq45,98.497,101.33,13.1,74.9,12.0
abs30,ipc,99.267,101.217,27.1,61.8,11.1
abs30,kospi,98.733,101.257,18.4,69.1,12.5
abs30,szse,99.237,101.383,30.7,58.6,10.7
abs30,psei,99.303,101.437,27.1,65.1,7.8
abs30,shanghai,98.25,100.627,9.8,51.4,38.7
abs30,bovespa,99.488,101.474,34.5,57.4,8.1
abs30,nikkei225,98.663,101.223,14.2,74.5,11.2
