id,paper_location,description,value
A1,Sec 3.2,total candidate markets tested for exogeneity,57
A2,Sec 3.2,markets with no usable data,1 (colcap)
A3,Sec 3.2/Tab3.1,pass reverse-Granger q=4 p>0.05,32
A4,Sec 3.2/Tab3.1,fail reverse-Granger q=4,24
A5,Sec 3.3,pass AND T>=340 (final panel; list),"23 | ipc,bovespa,merval,ibex35,smi,aex,athex,ta125,ta35,bist100,nikkei225,shanghai,szse,hangseng,hscei,kospi,sti,twse,jkse,lq45,klci,set,psei"
A6,Appendix A,per-market F/p all 57 (fresh file),appendixA_granger_global_cci.csv
A7,Appendix A,q=12 rerun on 23 admissible: pass/23 ; Japan p,22/23 pass ; nikkei225 p=0.0420
B1,Table 4.1,bist100,T=346;c1=97.330;c2=102.160;RW=94%;MR=3%;EXP=2%;bMR=0.0589***;bEXP=-0.9035***;BOTH TAILS
B2,Table 4.1,klci,T=389;c1=97.056;c2=101.499;RW=90%;MR=2%;EXP=8%;bMR=-1.2547***;bEXP=-0.2736***;EUPHORIA GAUGE
B3,Table 4.1,sti,T=436;c1=97.881;c2=101.721;RW=89%;MR=6%;EXP=5%;bMR=-0.0042;bEXP=-0.3128***;BOTH TAILS
B4,Table 4.1,athex,T=345;c1=97.552;c2=101.544;RW=88%;MR=4%;EXP=8%;bMR=-0.1583***;bEXP=-0.2702***;BOTH TAILS
B5,Table 4.1,ta125,T=403;c1=98.092;c2=101.675;RW=88%;MR=7%;EXP=5%;bMR=0.0132;bEXP=-0.1923**;BOTH TAILS
B6,Table 4.1,ta35,T=403;c1=98.092;c2=101.675;RW=88%;MR=7%;EXP=5%;bMR=0.0163;bEXP=-0.1857**;BOTH TAILS
B7,Table 4.1,hangseng,T=436;c1=98.450;c2=102.006;RW=87%;MR=10%;EXP=3%;bMR=-0.1364**;bEXP=-0.8646***;BOTH TAILS
B8,Table 4.1,twse,T=346;c1=97.023;c2=101.317;RW=87%;MR=2%;EXP=12%;bMR=-0.7991**;bEXP=-0.1515*;EUPHORIA GAUGE
B9,Table 4.1,smi,T=426;c1=97.284;c2=101.207;RW=86%;MR=3%;EXP=11%;bMR=0.0701*;bEXP=-0.1787***;BOTH TAILS
B10,Table 4.1,ibex35,T=394;c1=97.128;c2=101.189;RW=86%;MR=2%;EXP=12%;bMR=-0.7603***;bEXP=-0.1496***;BOTH TAILS
B11,Table 4.1,jkse,T=433;c1=97.800;c2=101.284;RW=85%;MR=5%;EXP=10%;bMR=-0.0043;bEXP=-0.2594***;BOTH TAILS
B12,Table 4.1,aex,T=403;c1=97.799;c2=101.383;RW=85%;MR=5%;EXP=10%;bMR=0.0314;bEXP=-0.1111**;BOTH TAILS
B13,Table 4.1,merval,T=355;c1=97.745;c2=101.253;RW=83%;MR=5%;EXP=12%;bMR=0.0303**;bEXP=-0.1801**;BOTH TAILS
B14,Table 4.1,set,T=353;c1=97.739;c2=101.257;RW=82%;MR=5%;EXP=12%;bMR=0.0301;bEXP=-0.1856**;BOTH TAILS
B15,Table 4.1,hscei,T=394;c1=98.014;c2=101.263;RW=82%;MR=7%;EXP=11%;bMR=-0.2468**;bEXP=-0.1333**;BOTH TAILS
B16,Table 4.1,lq45,T=351;c1=97.884;c2=101.330;RW=81%;MR=7%;EXP=12%;bMR=-0.0098;bEXP=-0.3412***;BOTH TAILS
B17,Table 4.1,ipc,T=414;c1=99.267;c2=102.011;RW=70%;MR=27%;EXP=3%;bMR=-0.0203***;bEXP=-0.8274***;BOTH TAILS
B18,Table 4.1,kospi,T=353;c1=98.733;c2=101.257;RW=69%;MR=18%;EXP=12%;bMR=0.0584**;bEXP=-0.0890;BOTH TAILS
B19,Table 4.1,szse,T=345;c1=99.467;c2=101.767;RW=57%;MR=37%;EXP=5%;bMR=-0.0981**;bEXP=-0.4740***;BOTH TAILS
B20,Table 4.1,psei,T=436;c1=100.157;c2=102.219;RW=54%;MR=45%;EXP=1%;bMR=-0.0198***;bEXP=-0.3254;BOTH TAILS
B21,Table 4.1,shanghai,T=346;c1=100.167;c2=102.237;RW=52%;MR=47%;EXP=1%;bMR=-0.0626***;bEXP=-0.3605***;BOTH TAILS
B22,Table 4.1,bovespa,T=397;c1=100.444;c2=102.430;RW=50%;MR=50%;EXP=0%;bMR=-0.0506***;bEXP=0.0000;FEAR GAUGE
B23,Table 4.1,nikkei225,T=436;c1=97.881;c2=99.872;RW=34%;MR=6%;EXP=61%;bMR=0.0489*;bEXP=-0.0351***;BOTH TAILS
B24,Sec 4,"c1 min,max across 23","97.023,100.444"
B25,Sec 4,"c2 min,max across 23","99.872,102.430"
B26,Sec 4,"c1 min,max excluding 6 MR-heavy","97.023,98.450"
B27,Sec 4,"c2 min,max excluding nikkei225","101.189,102.430"
B28,Sec 4,markets whose c1 > B26 max,"ipc,kospi,szse,psei,shanghai,bovespa"
C1,Tab3.1,"MCSI rolling c1 min,max,range","57.5,103.6,46.0"
C2,Tab3.1,MCSI rolling c2 range,47.6 (min 59.7 max 107.3)
C3,Tab3.1,US CCI rolling c1 range,4.4 (min 96.40 max 100.75)
C4,Tab3.1/Fig3.1,"global CCI rolling c1 min,max,range ; c2 range","c1 96.53,101.37,4.84 ; c2 range 3.84"
C5,Sec 3.2,global-CCI rolling: n windows ; span years,27 windows ; 26.0 yr (1999-12..2025-12)
