market,dgp,real_rss_impr,null_rss_p50,null_rss_p95,emp_p_rss,real_pctile,band_share_pct
bist100,iid,10.492,3.653,5.986,0.0,100.0,34.2
bist100,block12,10.492,4.002,9.497,0.025,97.5,27.4
klci,iid,7.908,3.582,5.694,0.002,99.8,21.0
klci,block12,7.908,4.257,10.732,0.141,85.9,17.2
sti,iid,4.075,3.206,5.062,0.2,80.0,26.2
sti,block12,4.075,3.743,7.728,0.437,56.3,18.4
athex,iid,10.597,4.149,6.758,0.0,100.0,17.9
athex,block12,10.597,4.737,8.304,0.004,99.6,18.9
ta125,iid,4.278,3.349,5.096,0.168,83.2,31.3
ta125,block12,4.278,3.702,7.165,0.358,64.2,25.5
ta35,iid,3.807,3.219,5.108,0.293,70.7,31.0
ta35,block12,3.807,3.539,6.435,0.421,57.9,26.1
hangseng,iid,5.229,3.216,5.06,0.038,96.2,24.6
hangseng,block12,5.229,3.272,6.487,0.135,86.5,20.8
twse,iid,5.309,4.014,6.41,0.164,83.6,26.7
twse,block12,5.309,4.376,8.104,0.338,66.2,22.6
smi,iid,6.732,3.123,5.028,0.002,99.8,26.1
smi,block12,6.732,3.556,7.035,0.068,93.2,21.7
ibex35,iid,5.003,3.426,5.513,0.103,89.7,25.8
ibex35,block12,5.003,3.736,6.422,0.197,80.3,21.4
jkse,iid,7.192,3.244,5.009,0.001,99.9,17.7
jkse,block12,7.192,3.546,7.864,0.069,93.1,15.0
aex,iid,5.04,3.369,5.323,0.086,91.4,25.1
aex,block12,5.04,3.621,8.51,0.222,77.8,17.7
merval,iid,4.475,3.528,5.766,0.224,77.6,32.4
merval,block12,4.475,3.969,7.463,0.39,61.0,25.9
set,iid,6.437,4.076,6.459,0.053,94.7,22.5
set,block12,6.437,4.685,8.85,0.191,80.9,21.0
hscei,iid,6.802,3.688,5.654,0.007,99.3,23.0
hscei,block12,6.802,3.964,7.848,0.094,90.6,18.1
lq45,iid,9.976,4.057,6.488,0.001,99.9,25.0
lq45,block12,9.976,4.259,9.969,0.05,95.0,20.1
ipc,iid,5.016,3.173,5.027,0.052,94.8,27.5
ipc,block12,5.016,3.255,7.004,0.146,85.4,27.8
kospi,iid,4.093,3.717,5.963,0.374,62.6,30.0
kospi,block12,4.093,4.456,9.461,0.577,42.3,19.4
szse,iid,5.078,4.125,6.514,0.218,78.2,19.9
szse,block12,5.078,4.871,8.984,0.44,56.0,16.7
psei,iid,3.571,3.232,5.116,0.365,63.5,24.9
psei,block12,3.571,3.385,6.589,0.462,53.8,18.6
shanghai,iid,4.298,4.064,6.24,0.428,57.2,25.5
shanghai,block12,4.298,4.879,8.705,0.618,38.2,20.7
bovespa,iid,28.179,3.187,5.133,0.0,100.0,28.4
bovespa,block12,28.179,4.473,23.747,0.026,97.4,14.6
nikkei225,iid,3.862,3.342,5.234,0.307,69.3,21.7
nikkei225,block12,3.862,3.412,6.173,0.355,64.5,22.9
