market,real_c1,real_c2,real_rss_impr_pct,plac_c1_p5,plac_c1_p25,plac_c1_p50,plac_c1_p75,plac_c1_p95,plac_c2_p5,plac_c2_p50,plac_c2_p95,band_share_pct,real_c1_pctile,real_c2_pctile,real_rss_pctile,plac_rss_p50,plac_rss_p95
bist100,97.33,102.16,10.492,96.87,97.023,97.943,98.921,99.707,100.086,101.7,102.237,36.0,37.0,85.0,100.0,3.7093,6.1709
klci,97.056,101.499,7.9082,96.868,97.149,98.167,99.333,99.918,99.574,101.684,102.206,24.0,20.0,38.0,100.0,3.5847,5.7823
sti,97.881,101.721,4.0755,96.743,97.046,97.668,98.93,99.374,99.392,101.437,102.116,26.0,54.0,67.0,80.0,3.1226,4.7929
athex,97.552,101.544,10.597,96.784,97.053,98.166,99.087,99.625,99.302,101.621,102.166,20.0,34.0,48.0,100.0,4.1976,6.4626
ta125,98.092,101.675,4.2783,96.809,97.068,97.69,98.732,99.302,99.628,101.456,101.935,32.0,62.0,74.0,94.0,3.0555,4.2459
ta35,98.092,101.675,3.8066,96.776,97.068,97.47,98.604,99.522,99.288,101.493,102.154,26.0,64.0,60.0,78.0,2.9348,5.0235
hangseng,98.45,102.006,5.229,96.918,97.099,97.774,99.072,99.997,99.303,101.721,102.219,22.0,62.0,66.0,94.0,3.2462,5.2754
twse,97.023,101.317,5.3094,96.87,97.023,97.292,98.844,99.875,99.17,101.47,102.237,18.0,28.0,43.0,86.0,3.8215,5.999
smi,97.284,101.207,6.7316,96.785,96.874,97.177,98.247,99.47,99.131,101.528,102.205,36.0,57.0,36.0,100.0,3.3368,5.4483
ibex35,97.128,101.189,5.0026,96.759,97.055,97.571,98.753,99.761,99.336,101.3,102.223,20.0,32.0,39.0,96.0,3.1788,4.7334
jkse,97.8,101.284,7.1916,96.804,97.373,98.191,99.151,99.908,99.933,101.711,102.209,14.0,35.0,32.0,100.0,3.1538,4.9473
aex,97.799,101.383,5.0403,96.849,96.958,97.726,98.604,99.555,99.792,101.749,102.261,42.0,54.0,26.0,90.0,3.5496,5.259
merval,97.745,101.253,4.4747,96.822,97.059,97.745,98.432,99.084,99.393,101.558,102.245,28.0,52.0,43.0,76.0,3.4135,6.1225
set,97.739,101.257,6.4375,96.745,97.07,98.16,98.886,100.006,99.418,101.295,102.216,18.0,41.0,48.0,94.0,4.0903,6.4593
hscei,98.014,101.263,6.8017,96.792,97.055,97.719,98.882,99.654,99.417,101.337,102.223,12.0,54.0,46.0,100.0,3.8082,5.55
lq45,97.884,101.33,9.9763,96.813,97.061,97.77,99.09,100.526,99.316,101.56,102.586,28.0,56.0,32.0,100.0,3.6516,5.8127
ipc,99.267,102.011,5.0156,96.883,97.1,97.569,98.887,99.57,99.805,101.433,102.195,28.0,90.0,86.0,94.0,3.3003,5.1864
kospi,98.733,101.257,4.093,96.814,97.051,97.892,99.116,99.999,99.261,101.563,102.174,32.0,70.0,36.0,58.0,3.703,6.5626
szse,99.467,101.767,5.0783,96.783,97.013,98.202,99.026,99.816,98.964,101.498,102.227,22.0,86.0,71.0,90.0,3.9573,5.7836
psei,100.157,102.219,3.5715,96.807,97.117,98.201,99.001,99.73,100.064,101.401,102.219,22.0,98.0,96.0,58.0,3.2605,5.0558
shanghai,100.167,102.237,4.2982,96.793,97.1,97.675,99.074,99.902,99.538,101.393,102.202,18.0,98.0,97.0,48.0,4.38,7.8323
bovespa,100.444,102.43,28.1788,96.768,96.915,97.834,98.606,99.75,100.121,101.658,102.176,28.0,100.0,100.0,100.0,3.3289,5.3258
nikkei225,97.881,99.872,3.8622,96.957,97.046,97.703,99.001,100.786,99.897,101.579,102.777,34.0,56.0,6.0,68.0,3.5134,4.7832
