market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
bist100,0,97.79,101.7,3.3351,0.024384,-0.080076
bist100,1,100.8567,102.85,2.8634,-0.019395,0.0
bist100,2,96.87,101.6233,3.0485,-1.30474,-0.333774
bist100,3,97.0233,101.5467,4.6135,-0.356044,-0.11076
bist100,4,99.2467,102.2367,3.1082,-0.000879,-0.431118
bist100,5,98.6333,101.7767,3.839,-0.006685,-0.120225
bist100,6,96.7933,100.8567,3.6324,-2.054349,-0.057615
bist100,7,99.0933,102.0067,3.2035,-0.023295,0.140941
bist100,8,97.7133,100.55,4.6967,-0.045707,-0.117101
bist100,9,98.5567,102.0833,3.6978,-0.021959,-0.55222
bist100,10,96.9467,101.7,3.5275,-0.007234,-0.439967
bist100,11,96.9467,99.7067,5.9326,-1.360944,-0.00808
bist100,12,99.4,102.0067,4.2407,-0.024965,0.016166
bist100,13,97.1767,99.17,3.4323,0.014962,-0.006724
bist100,14,96.7933,101.3933,1.8374,-1.482387,-0.129764
bist100,15,99.0933,101.24,3.4803,-0.014802,-0.263003
bist100,16,99.17,101.8533,3.055,-0.005253,-0.149606
bist100,17,97.0233,101.47,4.9469,-0.715671,0.074798
bist100,18,98.8633,101.6233,2.6966,-0.007007,-0.272398
bist100,19,98.4033,102.16,3.5334,0.008911,-0.168441
bist100,20,96.87,102.2367,2.1181,-0.548512,-1.05256
bist100,21,98.94,101.3933,4.1297,-0.04364,-0.057083
bist100,22,97.0233,100.7033,3.7208,-1.098497,0.009575
bist100,23,98.02,102.2367,4.6,-0.045654,-0.893489
bist100,24,98.25,100.55,2.0955,0.009181,-0.001837
bist100,25,97.33,101.7,3.0548,-0.002568,-0.377813
bist100,26,98.02,101.93,3.3477,-0.021907,-0.121463
bist100,27,99.63,102.2367,4.7106,-0.01887,1.104289
bist100,28,97.1767,101.7,2.7402,0.128012,-0.264792
bist100,29,97.8667,101.47,4.864,0.01828,-0.379867
bist100,30,98.5567,101.6233,5.3593,-0.012592,-0.589975
bist100,31,99.3233,102.16,4.5146,-0.013247,-0.335273
bist100,32,98.3267,101.93,3.1116,-0.022964,-0.673093
bist100,33,99.7067,101.8533,3.509,0.006627,0.056331
bist100,34,99.0167,101.7767,8.7415,-0.031121,-0.250539
bist100,35,98.3267,102.0833,2.3067,-0.022196,-0.495226
bist100,36,97.0233,101.5467,4.6634,-0.429042,-0.279946
bist100,37,97.4067,102.2367,5.0851,-0.075512,-0.246816
bist100,38,99.7067,101.93,4.1208,0.00664,0.001466
bist100,39,96.9467,102.0833,4.7743,0.245277,-0.832293
bist100,40,97.0233,99.17,3.263,-1.770095,-0.011389
bist100,41,98.3267,100.6267,4.592,-0.104927,-0.023764
bist100,42,99.7067,101.7,4.6913,-0.010169,-0.436295
bist100,43,98.02,101.7,7.9154,0.000106,-0.074736
bist100,44,97.6367,101.3167,6.3594,0.036676,-0.231209
bist100,45,97.33,102.16,3.068,-0.05501,0.276759
bist100,46,97.6367,102.0833,5.9407,-0.029494,0.136026
bist100,47,96.9467,101.47,4.1784,-1.553472,-0.140433
bist100,48,96.87,101.7,2.5322,-0.828116,-0.318706
bist100,49,97.1,102.16,3.9199,-0.0409,-1.52079
klci,0,99.4257,101.5728,3.8147,-0.040169,-0.767595
klci,1,97.0564,99.5737,3.331,-2.108381,-0.049622
klci,2,96.9083,100.9805,4.053,-0.98417,-0.035928
klci,3,96.9083,99.9439,4.1109,-0.277262,-0.022618
klci,4,97.3525,99.6478,3.0695,-0.642368,-0.024262
klci,5,97.0564,100.6843,3.4305,-1.4644,-0.052444
klci,6,96.7602,101.943,4.6323,-0.258457,-1.282476
klci,7,98.9814,101.869,3.1836,-0.003414,-0.204943
klci,8,99.4257,101.4988,4.7837,-0.063575,-0.239314
klci,9,99.7959,101.869,4.1319,-0.040083,-0.365111
klci,10,98.6112,100.6843,3.5237,-0.091267,-0.01714
klci,11,98.0189,102.1652,5.9787,-0.448081,-0.784793
klci,12,97.5746,101.7209,3.754,-0.002859,-0.175216
klci,13,96.9083,101.2767,2.0284,-1.143096,-0.197278
klci,14,97.6487,100.3141,5.4424,-0.082297,-0.059368
klci,15,100.018,102.1652,6.6838,-0.088836,-0.763063
klci,16,99.2776,101.943,4.8335,-0.032903,-0.141949
klci,17,97.0564,102.0171,5.3139,-1.618239,-0.537899
klci,18,98.9074,101.5728,2.4604,-0.053382,-0.088133
klci,19,97.7227,101.4247,3.623,0.108632,-0.290691
klci,20,97.0564,99.5737,3.0699,-1.14802,-0.015196
klci,21,97.0564,101.869,3.7483,-1.149239,-0.753381
klci,22,99.3516,101.5728,2.3901,-0.018218,-0.488437
klci,23,97.8708,100.6843,2.9552,-0.136785,-0.005861
klci,24,99.3516,101.6469,3.596,-0.067091,-0.228244
klci,25,98.6112,101.4247,5.5422,-0.070482,-0.33712
klci,26,98.0929,101.4988,2.5727,-0.006595,-0.152192
klci,27,98.9814,102.2392,5.0265,-0.14636,-0.705334
klci,28,96.9083,99.4997,3.4498,-1.182532,-0.060759
