market,country,MR_mean_ret_pct,MR_resid_sd_pct,MR_drift_sd,MR_beta,MR_t,MR_correction_pass,RW_mean_ret_pct,RW_resid_sd_pct,RW_drift_sd,EXP_mean_ret_pct,EXP_resid_sd_pct,EXP_drift_sd,EXP_beta,EXP_t,EXP_root_pass,n_EXP
bist100,Turkey,5.5935,9.1133,0.614,0.05894,2.62,False,1.6518,10.3987,0.159,6.1807,10.3461,0.597,-0.90355,-5.629,False,8
klci,Malaysia,-0.8861,3.0397,-0.292,-1.2547,-3.764,True,0.1036,5.0023,0.021,-0.1,10.3392,-0.01,-0.27361,-2.89,False,32
sti,Singapore,-2.3012,7.7331,-0.298,-0.00424,-0.084,False,0.3739,5.5852,0.067,1.4209,7.6307,0.186,-0.31283,-2.696,False,22
athex,Greece,-3.7161,8.8917,-0.418,-0.15826,-2.827,True,0.0289,8.5022,0.003,3.1809,8.9314,0.356,-0.27024,-4.829,False,26
ta125,Israel,-1.6917,7.3883,-0.229,0.01322,0.531,False,0.8996,5.1335,0.175,2.1503,7.0113,0.307,-0.19234,-2.425,False,22
ta35,Israel (TA-35),-1.5075,6.9177,-0.218,0.01631,0.638,False,0.8776,5.1625,0.17,2.1586,6.6558,0.324,-0.18567,-2.349,False,22
hangseng,Hong Kong,-1.7561,8.9709,-0.196,-0.13639,-1.99,True,0.7385,6.4885,0.114,1.508,5.8316,0.259,-0.86459,-3.874,False,11
twse,Taiwan,-2.0309,7.0954,-0.286,-0.79915,-2.344,True,0.7325,5.7781,0.127,-1.5224,9.2563,-0.164,-0.15152,-1.744,False,40
smi,Switzerland,-3.2833,4.6107,-0.712,0.07015,1.676,False,0.6024,3.7984,0.159,0.9841,5.9673,0.165,-0.17874,-2.728,False,46
ibex35,Spain,-3.0575,4.635,-0.66,-0.76032,-3.02,True,0.4583,5.4987,0.083,1.0758,7.318,0.147,-0.14964,-2.59,False,47
jkse,Indonesia,-2.3169,11.0134,-0.21,-0.00434,-0.138,False,0.8282,5.7942,0.143,-0.6435,11.925,-0.054,-0.25935,-3.049,False,43
aex,Netherlands,-2.962,9.0644,-0.327,0.03135,0.774,False,0.5918,4.7806,0.124,1.8901,5.2267,0.362,-0.1111,-2.435,False,40
merval,Argentina,3.8498,14.7228,0.261,0.03032,2.188,False,2.8348,11.7418,0.241,-0.8596,12.0664,-0.071,-0.18015,-2.249,False,44
set,Thailand,-2.3173,9.8195,-0.236,0.03009,0.782,False,0.5441,5.4912,0.099,-1.2087,13.8039,-0.088,-0.18556,-2.249,False,44
hscei,Hong Kong (H-shr),-2.0602,11.6521,-0.177,-0.24683,-2.564,True,0.7569,8.0365,0.094,-2.4718,17.708,-0.14,-0.1333,-2.022,False,44
lq45,Indonesia (LQ45),-2.5568,11.6488,-0.219,-0.00982,-0.235,False,0.8454,6.1139,0.138,-0.8209,13.8237,-0.059,-0.34122,-3.251,False,42
ipc,Mexico,0.7495,5.7119,0.131,-0.02025,-2.748,True,1.0082,6.4956,0.155,1.3667,7.3942,0.185,-0.82741,-3.334,False,11
kospi,South Korea,1.7141,9.2075,0.186,0.05845,2.0,False,0.6582,5.2852,0.125,-0.4292,14.2074,-0.03,-0.08902,-1.437,False,44
szse,China (SZSE),-0.1691,8.25,-0.021,-0.09815,-2.564,True,0.5517,7.8012,0.071,2.1679,9.5718,0.226,-0.47399,-2.628,False,18
psei,Philippines,0.9808,7.1012,0.138,-0.01983,-2.619,True,0.0639,7.1841,0.009,-7.4198,7.5099,-0.988,-0.32539,-1.126,False,5
shanghai,China (SSE),-0.229,6.7608,-0.034,-0.06264,-2.94,True,0.7291,7.0829,0.103,7.3863,2.0174,3.661,-0.36054,-3.801,False,4
bovespa,Brazil,2.6998,8.0896,0.334,-0.05061,-13.787,True,1.788,9.8109,0.182,,,,,,False,0
nikkei225,Japan,-0.7276,8.4737,-0.086,0.04891,1.692,False,0.8958,6.0157,0.149,-0.2202,5.6458,-0.039,-0.03506,-2.919,False,264
