code,country,n,start,end,corr_dCCI,ci_lo,ci_hi
NZL,New Zealand,423,1988-06,2023-09,0.286,0.196,0.3712
GRC,Greece,468,1985-01,2024-01,0.3684,0.2874,0.4442
TUR,Turkey,240,2004-01,2024-01,0.3758,0.2616,0.4796
CZE,px,348,1995-01,2024-01,0.4151,0.3241,0.4985
AUS,Australia,528,1980-01,2024-01,0.4353,0.3635,0.502
FIN,Finland,434,1987-11,2024-01,0.4824,0.4067,0.5515
IRL,Ireland,516,1980-01,2023-01,0.4852,0.4163,0.5485
FRA,France,528,1980-01,2024-01,0.4855,0.4175,0.5481
ITA,Italy,528,1980-01,2024-01,0.4939,0.4265,0.5558
AUT,Austria,528,1980-01,2024-01,0.5006,0.4338,0.5619
MEX,Mexico,272,2001-04,2023-12,0.5068,0.4127,0.5902
DEU,Germany,528,1980-01,2024-01,0.5232,0.4583,0.5825
DNK,Denmark,528,1980-01,2024-01,0.5243,0.4595,0.5835
BEL,Belgium,528,1980-01,2024-01,0.5342,0.4703,0.5925
POL,wig20,272,2001-05,2024-01,0.5515,0.4629,0.6292
NLD,Netherlands,528,1980-01,2024-01,0.5629,0.5017,0.6185
PRT,Portugal,451,1986-06,2024-01,0.5702,0.5044,0.6294
CHE,Switzerland,526,1980-01,2023-11,0.5769,0.5169,0.6313
CAN,Canada,455,1980-01,2017-12,0.5899,0.5265,0.6468
KOR,South Korea,300,1998-12,2023-12,0.6029,0.5255,0.6704
GBR,UK,528,1980-01,2024-01,0.617,0.5612,0.6672
SWE,Sweden,339,1995-10,2024-01,0.6343,0.566,0.6939
JPN,Japan,501,1982-04,2024-01,0.6661,0.6143,0.7121
ESP,Spain,451,1986-06,2024-01,0.7053,0.6557,0.7489
USA,USA,528,1980-01,2024-01,0.8078,0.776,0.8355
