market,country,alpha_MR,alpha_RW_drift,alpha_EXP,se_alpha_EXP,t_alpha_EXP,sig_alpha_EXP,beta_EXP,mean_contemp_EXP_ret_pct,n_EXP
bist100,Turkey,-0.36917,0.01652,4.58443,0.80431,5.7,***,-0.90355,6.1807,8
klci,Malaysia,9.14841,0.00104,1.80897,0.62651,2.887,***,-0.27361,-0.1,32
sti,Singapore,0.01059,0.00374,2.38924,0.88121,2.711,***,-0.31283,1.4209,22
athex,Greece,1.088,0.00029,2.26691,0.46317,4.894,***,-0.27024,3.1809,26
ta125,Israel,-0.1124,0.009,1.19376,0.48355,2.469,**,-0.19234,2.1503,22
ta35,Israel (TA-35),-0.13342,0.00878,1.1532,0.48203,2.392,**,-0.18567,2.1586,22
hangseng,Hong Kong,1.33189,0.00739,8.38217,2.1596,3.881,***,-0.86459,1.508,11
twse,Taiwan,7.64423,0.00733,1.3409,0.77756,1.725,*,-0.15152,-1.5224,40
smi,Switzerland,-0.67051,0.00602,1.59048,0.57953,2.744,***,-0.17874,0.9841,46
ibex35,Spain,6.82389,0.00458,1.37743,0.52785,2.61,***,-0.14964,1.0758,47
jkse,Indonesia,0.01219,0.00828,1.60073,0.52743,3.035,***,-0.25935,-0.6435,43
aex,Netherlands,-0.22246,0.00592,0.71845,0.28735,2.5,**,-0.1111,1.8901,40
merval,Argentina,-0.26773,0.02835,1.12573,0.50464,2.231,**,-0.18015,-0.8596,44
set,Thailand,-0.23148,0.00544,1.09125,0.49104,2.222,**,-0.18556,-1.2087,44
hscei,Hong Kong (H-shr),2.1944,0.00757,1.00263,0.50889,1.97,**,-0.1333,-2.4718,44
lq45,Indonesia (LQ45),0.03712,0.00845,1.58027,0.48901,3.232,***,-0.34122,-0.8209,42
ipc,Mexico,0.22025,0.01008,7.29041,2.18251,3.34,***,-0.82741,1.3667,11
kospi,South Korea,-0.43503,0.00658,0.56528,0.3969,1.424,,-0.08902,-0.4292,44
szse,China (SZSE),0.91042,0.00552,3.9795,1.50631,2.642,***,-0.47399,2.1679,18
psei,Philippines,0.17337,0.00064,2.36444,2.16571,1.092,,-0.32539,-7.4198,5
shanghai,China (SSE),0.49516,0.00729,2.73279,0.69959,3.906,***,-0.36054,7.3863,4
bovespa,Brazil,0.57194,0.01788,,,,,,,0
nikkei225,Japan,-0.48772,0.00896,0.33943,0.11707,2.899,***,-0.03506,-0.2202,264
