market,scheme,n_ok,boundary_frac,degenerate_frac,c1_lo,c1_hi,c1_med,c2_lo,c2_hi,c2_med,MR_lo,MR_hi,MR_med,RW_lo,RW_hi,RW_med,EXP_lo,EXP_hi,EXP_med,bMR_lo,bMR_hi,bMR_med,bRW_lo,bRW_hi,bRW_med,bEXP_lo,bEXP_hi,bEXP_med
bist100,wild,1000,0.0,0.0,96.7933,100.09,97.4067,102.16,102.16,102.16,0.8671,45.6647,3.7572,52.0231,96.8208,93.9306,2.3121,2.3121,2.3121,-0.2121,0.509,0.0571,-0.0111,0.0097,-0.0001,-0.9807,-0.8264,-0.9035
bist100,block12,1000,0.003,0.003,97.01,99.7891,97.5456,100.8645,102.1894,102.1006,1.1561,39.6098,4.9133,47.3844,96.25,90.4624,0.8671,15.6503,3.7572,-0.8007,0.3413,0.055,-0.0177,0.0058,-0.0029,-1.2436,0.0006,-0.8606
bist100,block24,1000,0.021,0.001,97.0163,99.7591,97.5361,99.5103,102.19,102.1261,1.1561,30.0578,4.3353,35.5347,96.5318,90.7514,0.8671,58.9812,3.7572,-0.7989,0.3346,0.059,-0.0182,0.0055,-0.0041,-1.2409,0.0131,-0.8753
bist100,block36,1000,0.019,0.001,97.0124,99.7478,97.5357,99.2533,102.1918,102.1352,1.4451,29.7688,4.6243,27.7384,95.9538,89.5954,1.1561,69.0751,4.3353,-0.7973,0.327,0.0589,-0.0225,0.0103,-0.0047,-1.3142,0.0101,-0.886
klci,wild,1000,0.001,0.001,96.9083,99.2776,97.0564,101.2767,102.2392,101.4247,1.2853,27.7635,1.5424,62.7185,97.4293,89.4602,1.0283,11.3111,8.9974,-1.5746,0.0658,-1.2316,-0.0162,0.0275,0.003,-0.903,0.3558,-0.2858
klci,block12,1000,0.02,0.034,96.9348,101.2905,97.7986,101.0279,103.2379,101.4339,1.2853,83.2969,5.1414,16.7031,95.3728,83.5476,0.0,23.1427,9.2545,-1.3268,0.1192,-0.2154,-0.0287,0.016,-0.0102,-0.8767,0.0349,-0.2611
klci,block24,1000,0.027,0.01,96.9376,99.395,97.5647,100.1463,102.241,101.4134,1.2853,36.2661,3.856,35.9769,95.6298,83.8046,0.7712,45.2956,10.0257,-1.29,0.0858,-1.0936,-0.0339,0.0117,-0.0105,-0.8767,0.0458,-0.2391
klci,block36,1000,0.049,0.002,96.9375,99.3924,97.5611,100.1417,102.2376,101.4443,1.2853,33.4319,3.599,41.1118,95.8869,84.5758,1.0283,42.6735,10.0257,-1.285,0.0543,-1.0936,-0.03,0.0063,-0.0095,-0.8767,0.0502,-0.2425
sti,wild,1000,0.0,0.001,97.0278,99.1611,97.8811,101.0811,102.0767,101.5078,1.3761,24.0826,5.7339,63.3028,93.3544,86.6972,2.2936,15.5963,6.8807,-0.0983,1.1817,0.0289,-0.0167,0.0227,0.002,-0.7053,0.142,-0.2837
sti,block12,1000,0.004,0.02,97.3263,100.1792,97.9127,99.9739,102.2066,101.5982,1.3761,50.711,8.1422,28.1766,94.9541,82.3394,0.6881,55.5333,6.6514,-0.9284,0.3867,-0.0465,-0.0348,0.0156,-0.0106,-1.2246,0.0509,-0.285
sti,block24,1000,0.011,0.018,97.3204,99.8999,97.9115,99.9635,102.2037,101.6556,1.3761,49.5585,8.4862,30.7282,94.7305,81.8807,0.6881,54.5872,7.1101,-0.9648,0.191,-0.0667,-0.0452,0.006,-0.0136,-1.1585,0.0368,-0.2814
sti,block36,1000,0.037,0.049,97.3335,101.2967,97.9199,99.8521,103.2455,101.6655,1.3761,85.3555,8.7156,12.3853,94.2661,81.422,0.0,61.4966,6.8807,-0.9136,0.094,-0.0661,-0.0547,0.0054,-0.0146,-1.1585,0.0438,-0.2974
athex,wild,1000,0.0,0.0,97.168,99.2407,97.5518,101.5437,101.5437,101.5437,2.6087,30.7246,4.058,61.7391,89.8551,88.4058,7.5362,7.5362,7.5362,-0.2738,-0.0068,-0.19,-0.0151,0.0152,0.0005,-0.3369,-0.1984,-0.2717
athex,block12,1000,0.002,0.004,96.9331,99.8787,97.8926,100.2652,102.1618,101.4952,1.7391,47.8333,9.2754,36.5217,93.0435,78.2609,1.442,53.3478,8.4058,-1.6764,0.0253,-0.1038,-0.0258,0.0147,-0.005,-0.7503,0.0097,-0.2023
athex,block24,1000,0.011,0.015,96.9246,99.8937,97.8918,99.0652,102.1416,101.4808,1.7391,51.3188,10.1449,24.9275,92.1739,70.4348,0.8696,70.7391,10.0,-1.6692,0.0058,-0.1087,-0.0397,0.0128,-0.0062,-1.0976,0.0254,-0.1572
athex,block36,1000,0.015,0.031,96.9288,99.8839,97.8809,99.6074,102.1412,101.3736,1.7391,52.7536,9.5652,30.1449,92.1739,70.5797,0.0,64.6449,11.0145,-1.6692,0.0093,-0.1116,-0.0422,0.0093,-0.0083,-1.0976,0.0264,-0.166
