market,c1_free,c2_free,b2_rw,se_b2,t_b2,n_rw,sig5
bist100,97.33,102.16,-0.004438,0.003903,-1.137,326,False
klci,97.056,101.499,-0.006339,0.007604,-0.834,351,False
sti,97.881,101.721,-0.007252,0.008336,-0.87,389,False
athex,97.552,101.544,-0.009161,0.007776,-1.178,305,False
ta125,98.092,101.675,0.001983,0.003401,0.583,353,False
ta35,98.092,101.675,0.001635,0.003367,0.486,353,False
hangseng,96.886,102.006,-0.016743,0.005854,-2.86,421,True
twse,97.023,101.317,0.010209,0.007215,1.415,300,False
smi,97.284,101.278,-0.009532,0.003515,-2.711,370,True
ibex35,97.128,101.189,-0.013474,0.007522,-1.791,339,False
jkse,97.8,101.284,-0.001003,0.002607,-0.385,368,False
aex,97.726,101.383,-0.015009,0.00584,-2.57,345,True
merval,96.754,101.253,0.004683,0.002771,1.69,308,False
set,97.739,101.257,-0.014982,0.006443,-2.325,291,True
hscei,97.645,101.263,-0.0226,0.007935,-2.848,333,True
lq45,97.884,101.33,-0.008708,0.004443,-1.96,284,True
ipc,96.956,102.011,-0.004694,0.002653,-1.769,398,False
kospi,98.963,101.257,-0.015468,0.006982,-2.216,229,True
szse,99.467,101.767,0.000877,0.009575,0.092,198,False
psei,97.028,101.437,-0.009471,0.004943,-1.916,396,False
shanghai,100.167,102.237,0.00242,0.012445,0.194,180,False
bovespa,97.797,100.444,-0.050335,0.003609,-13.948,175,True
nikkei225,98.663,101.223,-0.015931,0.008297,-1.92,325,False
