market,country,region,market_class,T,rw_pct,mr_pct,exp_pct,c1,c2,beta_mr,se_mr,sig_mr,beta_ex,se_ex,sig_ex,dc_exp,gfc_mr,covid_mr,current_cci,current_regime,verdict
bist100,Turkey,Middle East,EM,346,94.21965317919076,3.4682080924855487,2.312138728323699,97.33,102.16,0.0589447380146672,0.0224944169652986,***,-0.9035472083199312,0.1605227179698306,***,20.5,57.1,0.0,97.552,RW,BOTH TAILS
klci,Malaysia,SE Asia,EM,389,90.23136246786633,1.5424164524421593,8.226221079691516,97.05636363636364,101.49878787878788,-1.2546981807631492,0.3333709932312967,***,-0.2736107861668876,0.0946693417584249,***,74.4,0.0,0.0,97.552,RW,EUPHORIA GAUGE
sti,Singapore,Asia Pacific,DM,436,89.22018348623854,5.73394495412844,5.045871559633028,97.88111111111112,101.7211111111111,-0.0042376632127662,0.0503656027135983,,-0.312831036992235,0.1160507132319068,***,56.4,100.0,0.0,97.552,MR,BOTH TAILS
athex,Greece,W. Europe,DM,345,88.40579710144928,4.057971014492753,7.536231884057972,97.55181818181818,101.54373737373736,-0.1582593522574576,0.0559862175551197,***,-0.270240211178605,0.0559604629907815,***,66.7,85.7,0.0,97.552,RW,BOTH TAILS
ta125,Israel,Middle East,DM,403,87.59305210918114,6.9478908188585615,5.459057071960298,98.0920202020202,101.67545454545456,0.0132180945731805,0.0248746726107566,,-0.1923421822219573,0.0793025935273731,**,56.4,100.0,0.0,97.552,MR,BOTH TAILS
ta35,Israel (TA-35),Middle East,DM,403,87.59305210918114,6.9478908188585615,5.459057071960298,98.0920202020202,101.67545454545456,0.0163126812631371,0.025567175149123,,-0.1856664273051399,0.0790536470357019,**,56.4,100.0,0.0,97.552,MR,BOTH TAILS
hangseng,Hong Kong,Asia Pacific,DM,436,87.38532110091744,10.091743119266056,2.522935779816514,98.45,102.00555555555556,-0.1363892801565569,0.0685305415602783,**,-0.8645923851775706,0.2231497782369208,***,28.2,100.0,33.3,97.552,MR,BOTH TAILS
twse,Taiwan,Asia Pacific,EM,346,86.70520231213872,1.7341040462427744,11.560693641618498,97.02333333333334,101.31666666666666,-0.7991480631090453,0.3409230190366454,**,-0.1515212762525597,0.0868621302626138,*,89.7,0.0,0.0,97.552,RW,EUPHORIA GAUGE
smi,Switzerland,W. Europe,DM,426,86.3849765258216,2.8169014084507045,10.7981220657277,97.28444444444445,101.20666666666666,0.0701475056642623,0.0418460148025845,*,-0.1787438786363354,0.0655279976618652,***,97.4,57.1,0.0,97.552,RW,BOTH TAILS
ibex35,Spain,W. Europe,DM,394,86.04060913705584,2.030456852791878,11.928934010152284,97.12838383838384,101.18949494949496,-0.7603178254621563,0.2517728327403444,***,-0.1496425748238491,0.0577846158565219,***,97.4,28.6,0.0,97.552,RW,BOTH TAILS
