,IPC_GCCI_A,IPC_GCCI_B,BOVESPA_GCCI_A,BOVESPA_GCCI_B,IPSA_GCCI_A,IPSA_GCCI_B,MERVAL_GCCI_A,MERVAL_GCCI_B,IBEX35_GCCI_A,IBEX35_GCCI_B,SMI_GCCI_A,SMI_GCCI_B,AEX_GCCI_A,AEX_GCCI_B,ATHEX_GCCI_A,ATHEX_GCCI_B,PSI20_GCCI_A,PSI20_GCCI_B,TA125_GCCI_A,TA125_GCCI_B,TA35_GCCI_A,TA35_GCCI_B,BIST100_GCCI_A,BIST100_GCCI_B,NIKKEI225_GCCI_A,NIKKEI225_GCCI_B,TOPIX_GCCI_A,TOPIX_GCCI_B,SHANGHAI_GCCI_A,SHANGHAI_GCCI_B,SZSE_GCCI_A,SZSE_GCCI_B,HANGSENG_GCCI_A,HANGSENG_GCCI_B,KOSPI_GCCI_A,KOSPI_GCCI_B,KOSDAQ_GCCI_A,KOSDAQ_GCCI_B,STI_GCCI_A,STI_GCCI_B,TWSE_GCCI_A,TWSE_GCCI_B,JKSE_GCCI_A,JKSE_GCCI_B,LQ45_GCCI_A,LQ45_GCCI_B,KLCI_GCCI_A,KLCI_GCCI_B,SET_GCCI_A,SET_GCCI_B,PSEI_GCCI_A,PSEI_GCCI_B,NZX50_GCCI_A,NZX50_GCCI_B
2021-12,RW,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2022-01,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2022-02,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2022-03,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2022-04,MR,RW,MR,MR,N/A,N/A,MR,RW,RW,RW,RW,RW,MR,MR,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,MR,MR,MR,MR,RW,RW,RW,MR,RW,RW,MR,MR,RW,MR,RW,RW,RW,MR,RW,MR,RW,MR,MR
2022-05,MR,MR,MR,MR,N/A,N/A,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,MR,MR,MR,RW,MR,MR,MR,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR
2022-06,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-07,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-08,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-09,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-10,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-11,MR,MR,MR,MR,N/A,N/A,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR
2022-12,MR,MR,MR,MR,N/A,N/A,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,RW,MR,MR,MR,RW,MR,MR,MR,MR,MR,RW,MR,MR,MR,MR,MR,MR,MR
2023-01,MR,RW,MR,MR,N/A,N/A,MR,RW,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,MR,MR,MR,MR,RW,MR,MR,RW,MR,RW,MR,MR,MR,MR,MR,MR,MR,MR,RW,RW,MR,RW,RW,MR,MR,RW,MR,MR,RW,MR,MR,MR,MR,RW,MR,MR
2023-02,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,MR,RW,MR,RW,MR,MR,MR,MR,MR,RW,RW,RW,MR,RW,RW,RW,RW,RW,MR,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-03,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-04,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-05,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-06,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-07,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-08,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,RW,RW,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-09,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-10,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
2023-11,MR,RW,MR,MR,N/A,N/A,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,MR,RW,MR,MR,MR,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,RW,MR,RW,RW,RW
