market,country,trigger_type,T,c1,c2,n_mr,n_rw,n_ex,pct_MR,pct_RW,pct_EXP,beta_mr,se_mr,sig_mr,beta_ex,se_ex,sig_ex
rut,USA (Small-Cap),country,408,96.9498,102.52556,14,382,12,3.43,93.63,2.94,0.066333,0.035535,*,-0.6235,0.221027,***
tsx,Canada,country,335,98.58667,100.54384,56,174,105,16.72,51.94,31.34,-0.043432,0.015613,***,-0.014312,0.011841,
ipc,Mexico,country,272,95.52222,97.80182,15,43,214,5.51,15.81,78.68,-0.049618,0.043813,,-0.009074,0.004444,**
bovespa,Brazil,global,397,100.44444,102.4299,197,200,0,49.62,50.38,0.0,-0.050613,0.003671,***,0.0,,
merval,Argentina,global,355,97.74525,101.25333,18,293,44,5.07,82.54,12.39,0.030323,0.013859,**,-0.180148,0.080092,**
ftse100,UK,country,408,96.67162,103.08545,36,369,3,8.82,90.44,0.74,0.045996,0.032969,,0.190127,0.293081,
cac40,France,country,406,99.44121,101.72364,163,221,22,40.15,54.43,5.42,-0.028098,0.011526,**,-0.211055,0.086213,**
smi,Switzerland,country,396,99.72626,101.67424,155,211,30,39.14,53.28,7.58,-0.013394,0.00509,***,-0.156215,0.081379,*
ftsemib,Italy,country,313,99.36424,103.07333,79,227,7,25.24,72.52,2.24,-0.094232,0.033467,***,-0.161066,0.127172,
athex,Greece,country,317,99.08394,101.59455,138,99,80,43.53,31.23,25.24,-0.081794,0.019472,***,0.003679,0.020678,
psi20,Portugal,country,129,95.90889,97.82556,8,30,91,6.2,23.26,70.54,-1.055882,0.287392,***,-0.159307,0.049924,***
omxstockholm,Sweden,country,182,96.18727,98.85434,17,10,155,9.34,5.49,85.16,-0.301235,0.179604,*,-0.03255,0.012584,***
omxhelsinki,Finland,country,130,95.63838,97.59071,7,15,108,5.38,11.54,83.08,-1.08344,0.435395,**,-0.038674,0.019414,**
omxcopenhagen,Denmark,country,85,96.48869,100.95232,6,49,30,7.06,57.65,35.29,-1.082814,0.500551,**,0.044653,0.029349,
ta125,Israel,global,403,98.09202,101.67545,28,353,22,6.95,87.59,5.46,0.013218,0.024875,,-0.192342,0.079303,**
ta35,Israel (TA-35),global,403,98.09202,101.67545,28,353,22,6.95,87.59,5.46,0.016313,0.025567,,-0.185666,0.079054,**
bist100,Turkey,country,240,95.16788,100.85273,16,109,115,6.67,45.42,47.92,0.057357,0.023283,**,-0.034091,0.012996,***
nikkei225,Japan,country,408,96.16051,98.9801,4,113,291,0.98,27.7,71.32,0.179336,0.059705,***,-0.041259,0.01061,***
topix,Japan (TOPIX),country,192,97.04404,100.17081,19,138,35,9.9,71.88,18.23,0.040198,0.049214,,-0.079712,0.02473,***
shanghai,China (SSE),global,346,100.16667,102.23667,162,180,4,46.82,52.02,1.16,-0.06264,0.021305,***,-0.360545,0.094853,***
szse,China (SZSE),global,345,99.46667,101.76667,129,198,18,37.39,57.39,5.22,-0.098149,0.038281,**,-0.473986,0.180374,***
hangseng,Hong Kong,global,436,98.45,102.00556,44,381,11,10.09,87.39,2.52,-0.136389,0.068531,**,-0.864592,0.22315,***
hscei,Hong Kong (H-shr),global,394,98.01444,101.26333,26,324,44,6.6,82.23,11.17,-0.24683,0.096266,**,-0.133301,0.065939,**
kospi,South Korea,country,300,96.71212,99.5404,5,80,215,1.67,26.67,71.67,0.223645,0.168318,,-0.02654,0.00878,***
kosdaq,South Korea (KQ),country,278,98.98273,101.53545,46,207,25,16.55,74.46,8.99,-0.073251,0.058727,,-0.197253,0.068788,***
sti,Singapore,global,436,97.88111,101.72111,25,389,22,5.73,89.22,5.05,-0.004238,0.050366,,-0.312831,0.116051,***
twse,Taiwan,global,346,97.02333,101.31667,6,300,40,1.73,86.71,11.56,-0.799148,0.340923,**,-0.151521,0.086862,*
jkse,Indonesia,global,433,97.8,101.28444,22,368,43,5.08,84.99,9.93,-0.004344,0.031484,,-0.259352,0.085061,***
lq45,Indonesia (LQ45),global,351,97.88444,101.3299,25,284,42,7.12,80.91,11.97,-0.009815,0.041847,,-0.341216,0.104943,***
klci,Malaysia,global,389,97.05636,101.49879,6,351,32,1.54,90.23,8.23,-1.254698,0.333371,***,-0.273611,0.094669,***
set,Thailand,global,353,97.73929,101.25667,18,291,44,5.1,82.44,12.46,0.030093,0.038468,,-0.185564,0.082512,**
psei,Philippines,global,436,100.15667,102.21889,196,235,5,44.95,53.9,1.15,-0.019835,0.007572,***,-0.325391,0.288939,
asx200,Australia,country,374,99.53758,102.22727,80,287,7,21.39,76.74,1.87,-0.024515,0.014428,*,0.028513,0.024513,
nzx50,New Zealand,country,248,97.26899,99.78697,18,84,146,7.26,33.87,58.87,0.098559,0.028899,***,-0.003803,0.005559,
