window_end,c1,c2
1999-12,99.73,101.934
2000-12,99.73,101.934
2001-12,99.73,101.934
2002-12,100.086,102.148
2003-12,100.086,102.148
2004-12,101.366,103.357
2005-12,96.53,101.081
2006-12,96.53,101.081
2007-12,99.872,101.934
2008-12,97.526,101.934
2009-12,97.526,101.934
2010-12,97.526,99.517
2011-12,97.526,100.37
2012-12,97.526,99.73
2013-12,97.526,99.659
2014-12,97.526,100.939
2015-12,97.526,100.157
2016-12,97.526,100.583
2017-12,97.526,100.512
2018-12,97.81,100.726
2019-12,98.45,100.868
2020-12,98.237,100.868
2021-12,98.806,100.868
2022-12,99.019,101.152
2023-12,97.81,100.868
2024-12,97.81,100.868
2025-12,97.81,100.868
